"Kod";"Nazwa";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2005;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2006;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2007;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2008;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2009;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2010;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2011;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2012;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2013;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2014;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2015;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2016;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2017;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2018;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2019;[m2]";
1817000;"Powiat sanocki";621;209;2973;1710;1744;1094;220;1089;349;0;1264;3024;2747;3560;;
1818000;"Powiat stalowowolski";2508;5954;6365;7979;522;75;2919;10602;4694;2433;7166;6298;17589;15394;;
1819000;"Powiat strzyżowski";356;17;0;748;717;111;0;0;240;0;1206;3035;0;179;;
1820000;"Powiat tarnobrzeski";46;448;1551;181;10651;23;6285;66505;387;1220;29490;762;7374;1217;;
1821000;"Powiat leski";370;0;0;824;857;0;131;0;410;58;940;0;0;72;;
1861000;"Powiat m.Krosno";37;1181;2252;1167;3373;1939;1166;2665;1879;182;744;819;4673;2369;;
1862000;"Powiat m.Przemyśl";1129;0;0;1447;1131;836;0;364;360;511;2310;8419;8664;6807;;
1863000;"Powiat m.Rzeszów";5832;13047;3561;10619;7934;10027;6347;7612;6918;15922;13851;6885;6869;10446;;
1864000;"Powiat m.Tarnobrzeg";1381;951;495;2837;586;196;3097;329;295;213;1096;1301;565;3301;;
2001000;"Powiat augustowski";6537;1345;8630;233;2078;118;1362;996;1907;3103;154;156;0;2394;;
2002000;"Powiat białostocki";6332;1139;7728;3395;2875;7288;6617;6422;3429;5699;4440;6853;8669;2664;;
2003000;"Powiat bielski";570;1058;6943;2422;5384;1402;2973;3585;4605;7356;511;3594;6999;6504;;
2004000;"Powiat grajewski";197;265;1085;176;0;943;925;0;173;195;0;5140;589;3578;;
2005000;"Powiat hajnowski";12408;1713;10728;279;1251;70;702;583;861;227;5502;2453;1758;232;;
2006000;"Powiat kolneński";28;498;1057;2537;176;0;0;350;209;796;0;0;370;289;;
2007000;"Powiat łomżyński";30;40;3011;579;0;2029;162;646;2154;1436;2995;871;200;0;;
2008000;"Powiat moniecki";306;0;1595;1253;0;653;495;399;1442;2525;941;1462;0;0;;
2009000;"Powiat sejneński";180;360;396;0;0;0;0;0;118;62;0;193;0;0;;
2010000;"Powiat siemiatycki";966;305;2940;1635;353;149;11924;3045;114;4083;4182;654;638;732;;
2011000;"Powiat sokólski";1467;2807;1771;0;604;2602;1196;2426;2223;389;1296;2322;1876;3115;;
2012000;"Powiat suwalski";532;0;0;50;0;1500;0;211;236;2922;52;572;118;0;;
2013000;"Powiat wysokomazowiecki";9697;1444;478;3304;0;2857;1599;660;192;1985;3237;2666;532;446;;
2014000;"Powiat zambrowski";153;61;212;1147;6063;918;2396;18485;4425;2157;2678;3018;1798;3407;;
2061000;"Powiat m.Białystok";18387;9982;10338;14269;5270;9551;4436;19724;6868;4769;9149;13596;21985;10183;;
2062000;"Powiat m.Łomża";2354;10199;3281;2765;1640;1301;1879;1937;1922;5015;3620;7956;1783;4207;;
2063000;"Powiat m.Suwałki";1726;6353;51252;1427;14831;1406;568;3407;3641;1729;14543;4093;35736;19600;;
2201000;"Powiat bytowski";1398;1104;0;288;426;1733;864;0;1488;418;4989;774;185;38;;
2202000;"Powiat chojnicki";6626;8697;3943;1507;406;9780;5234;12628;3515;689;3115;6631;13276;790;;
2203000;"Powiat człuchowski";276;140;761;7405;551;3196;1688;4413;4577;691;11728;3461;1947;4210;;
2204000;"Powiat gdański";16019;17413;72287;52436;13712;21318;16048;34978;26053;72642;33666;56428;54919;35569;;
2205000;"Powiat kartuski";3265;18721;10625;10039;13186;8413;5940;8915;5832;5728;8237;9986;8454;10748;;
2206000;"Powiat kościerski";2493;794;1794;1317;3076;2212;1354;1838;1014;563;1509;6806;1536;794;;
2207000;"Powiat kwidzyński";8657;9643;5237;4630;6358;1782;1246;7918;6094;1185;2293;1514;1486;689;;
2208000;"Powiat lęborski";137;6835;384;1966;17180;665;250;686;83;360;5392;3165;0;1099;;
2209000;"Powiat malborski";113;117;1403;429;1103;2129;2617;1527;43;285;3179;6007;3586;3379;;
2210000;"Powiat nowodworski";756;697;775;376;275;107;530;5733;0;919;1641;0;1881;2991;;
2211000;"Powiat pucki";755;3524;263;0;1262;304;321;259;3356;2472;6038;1098;3515;1744;;
2212000;"Powiat słupski";607;3990;0;20708;4657;6137;2327;5016;6447;3038;20387;20141;12629;11508;;
2213000;"Powiat starogardzki";5890;177;2187;6882;647;1311;5795;4072;26631;4572;5843;4634;3738;9287;;
2214000;"Powiat tczewski";0;8112;3592;330;0;179;358;4844;4248;2799;9528;6937;5001;15264;;
2215000;"Powiat wejherowski";6422;7069;6192;6763;7013;10605;22475;19256;4040;1782;6961;17197;5328;11219;;
2216000;"Powiat sztumski";608;56;1397;0;1659;1539;1457;1130;2821;1920;3140;13345;511;4209;;
2261000;"Powiat m.Gdańsk";1963;8285;35359;29234;7849;13437;14206;23474;63030;43324;55314;37118;59814;157785;;
2262000;"Powiat m.Gdynia";9959;7507;13350;13144;17320;6260;452;5536;15895;37361;6907;17797;22154;2191;;
2263000;"Powiat m.Słupsk";4762;703;12886;248;5557;6897;10166;1393;142;1513;1124;3150;3554;1719;;
2264000;"Powiat m.Sopot";0;171;0;0;0;0;0;0;0;0;0;0;0;0;;
2401000;"Powiat będziński";6089;1092;0;42260;7876;17713;5853;14872;16550;10380;5312;4001;56906;33947;;
2402000;"Powiat bielski";1641;6413;3505;3385;6835;1794;11398;1872;3138;1986;12261;9371;27316;13243;;
2403000;"Powiat cieszyński";4083;1174;7773;6802;2917;516;7580;8993;5649;1985;3349;19644;14463;10130;;
2404000;"Powiat częstochowski";2944;1750;8730;470;3800;2839;6310;7961;5855;6142;844;7045;8011;5195;;
2405000;"Powiat gliwicki";2065;0;4690;5571;34238;6514;13453;24467;3282;30063;1216;7678;13988;1117;;
2406000;"Powiat kłobucki";1048;2544;1200;5167;2678;3439;1952;0;3275;2743;386;1011;3057;4815;;
2407000;"Powiat lubliniecki";3747;556;2534;5887;5443;1706;1015;735;4803;1844;2003;478;2317;8589;;
2408000;"Powiat mikołowski";6486;561;1110;6120;3294;3758;5231;4503;3760;10179;2633;5259;5220;1939;;
2409000;"Powiat myszkowski";2055;304;2457;6666;2518;2757;18646;1768;816;6695;906;2105;3944;4528;;
2410000;"Powiat pszczyński";0;2124;2902;199;15418;1047;5621;1574;14039;8354;1965;4686;3736;2957;;
2411000;"Powiat raciborski";47;381;1382;3692;10804;2241;2980;3014;5773;624;1374;1573;429;15939;;
2412000;"Powiat rybnicki";218;10268;3797;762;2346;2586;1248;243;160;274;13308;78;79;1634;;
2413000;"Powiat tarnogórski";1410;5722;3421;7555;3301;13203;4174;8325;661;3609;557;15583;4468;44801;;
2414000;"Powiat bieruńsko-lędziński";455;545;559;12066;1260;2641;7945;560;1724;22030;7034;1229;14617;10272;;
2415000;"Powiat wodzisławski";2543;2025;2738;2858;1011;1899;1410;3542;2984;1325;1736;3270;1900;1586;;
2416000;"Powiat zawierciański";2119;2847;513;1318;1737;6267;6080;14981;2938;2984;1200;4168;3067;7103;;
2417000;"Powiat żywiecki";1529;0;0;8746;0;0;281;418;0;0;116;81;0;78;;
2461000;"Powiat m.Bielsko-Biała";4184;29219;43160;11322;14951;3758;26579;3025;10208;17580;7215;12627;2095;7660;;
2462000;"Powiat m.Bytom";3000;280;516;290;495;0;917;540;900;2708;375;3621;4711;2425;;
2463000;"Powiat m.Chorzów";2351;80276;4198;17810;93174;1230;2697;7883;910;7623;185;28752;4910;2483;;
2464000;"Powiat m.Częstochowa";4484;1675;14098;25941;12263;225;13791;10727;4649;28038;11777;13392;20946;25526;;
2465000;"Powiat m.Dąbrowa Górnicza";7624;54867;24112;34407;3186;833;1528;4282;5112;862;769;15831;11063;17423;;
2466000;"Powiat m.Gliwice";10972;20143;57720;67851;22470;60496;45135;45063;12826;43786;25944;59113;18969;24275;;
2467000;"Powiat m.Jastrzębie-Zdrój";1710;51;1092;2292;4648;1668;7093;3920;2221;1663;2951;3254;5479;1052;;
2468000;"Powiat m.Jaworzno";351;764;0;2651;125;0;0;2345;0;84;11316;5442;3328;5469;;
2469000;"Powiat m.Katowice";34280;0;21824;10091;24553;4143;3394;4794;24426;9664;15179;6542;32992;4722;;
2470000;"Powiat m.Mysłowice";37;0;427;7227;59042;15608;504;33931;1015;563;1568;287;6428;621;;
2471000;"Powiat m.Piekary Śląskie";109;628;3186;248;266;1415;382;2087;908;1251;2175;0;5715;4014;;
2472000;"Powiat m.Ruda Śląska";0;6617;0;9503;1950;133;425;31593;1207;140;237;796;36614;4723;;
2473000;"Powiat m.Rybnik";1890;1431;8988;9549;10541;4800;1431;199;1816;2712;2727;1290;1381;2651;;
2474000;"Powiat m.Siemianowice Śląskie";3456;0;11278;4479;7316;660;3005;1406;167;1147;7810;97;12178;20771;;
2475000;"Powiat m.Sosnowiec";207;1082;366;12570;17633;7343;1172;3521;9737;82500;94105;80973;217964;200706;;
2476000;"Powiat m.Świętochłowice";0;0;1920;0;0;731;0;0;4278;3102;2482;4489;977;2164;;
2477000;"Powiat m.Tychy";12192;30011;43647;87093;53461;17716;27264;30268;32516;13081;10410;58330;25222;22340;;
2478000;"Powiat m.Zabrze";382;190;9890;2240;674;774;2854;90;18305;1896;5002;7736;16057;15653;;
2479000;"Powiat m.Żory";6240;2304;38;1271;672;2339;0;92;2049;1182;3394;0;0;4486;;
2601000;"Powiat buski";904;970;0;0;1822;1860;491;13311;235;1775;10620;329;3804;0;;
2602000;"Powiat jędrzejowski";3253;6723;3660;1583;3218;4349;0;5870;4130;6437;9685;5656;3055;7457;;
2603000;"Powiat kazimierski";0;0;0;0;0;1897;245;562;1623;1183;544;880;1123;414;;
2604000;"Powiat kielecki";6239;579;5859;2707;1000;3246;65;487;15985;9754;3446;15440;3022;7556;;
2605000;"Powiat konecki";2771;5042;4825;11801;1660;1775;720;1747;4549;1412;7836;6567;4974;3741;;
2606000;"Powiat opatowski";1465;3615;0;1144;112;1681;2228;5488;1543;1343;6792;645;240;382;;
2607000;"Powiat ostrowiecki";2051;2154;3208;2841;1330;1258;9950;1147;4557;1812;3805;2352;5361;3017;;
2608000;"Powiat pińczowski";6981;8306;0;349;895;4417;1608;126;2872;1470;6666;54;749;338;;
2609000;"Powiat sandomierski";0;272;1136;470;468;0;1491;549;3611;24043;9869;2630;0;0;;
2610000;"Powiat skarżyski";43;1256;575;742;344;804;320;141;3058;1980;628;458;881;343;;
2611000;"Powiat starachowicki";3894;13;68;1798;1010;943;2675;3725;1470;3100;8260;3499;2251;3195;;
2612000;"Powiat staszowski";782;0;1083;6016;18977;1153;928;340;2207;2770;2710;4441;114;990;;
2613000;"Powiat włoszczowski";1012;0;390;641;1518;1379;363;2662;2978;5352;429;614;1908;7097;;
2661000;"Powiat m.Kielce";1596;1565;4286;4685;3938;11967;17867;3854;6670;4205;10894;20343;6037;41431;;
2801000;"Powiat bartoszycki";2145;1202;661;941;895;870;30;2634;4051;0;1020;1831;892;145;;
2802000;"Powiat braniewski";3055;148;0;9105;2400;2413;7289;151;3525;245;2084;7130;0;61;;
2803000;"Powiat działdowski";2535;4675;2228;6329;7463;2657;5528;2028;3592;3384;7603;5518;6629;1699;;
2804000;"Powiat elbląski";6656;3095;68;13528;3908;9522;8628;11832;10431;2132;3138;11412;7269;3057;;
2805000;"Powiat ełcki";2672;4485;2426;3183;5110;2102;1005;281;3424;2805;6372;7455;3139;3427;;
2806000;"Powiat giżycki";4152;2053;1667;0;385;0;90;280;5532;2344;1162;618;409;423;;
2807000;"Powiat iławski";1471;16083;9676;18461;2918;1811;4948;4678;7654;7101;10096;1465;7088;44735;;
2808000;"Powiat kętrzyński";1757;507;1436;147;864;1005;775;556;2260;616;494;2229;308;2136;;
2809000;"Powiat lidzbarski";308;406;987;3776;1199;410;1476;1003;2128;1938;2335;443;1332;1805;;
2810000;"Powiat mrągowski";647;6044;3351;2858;1633;588;1154;840;1711;2873;1254;791;1546;175;;
2811000;"Powiat nidzicki";5448;2151;1874;413;218;633;1590;126;118;999;3050;1149;574;7004;;
2812000;"Powiat nowomiejski";1692;1165;11105;878;989;2429;0;1386;905;268;0;494;1725;0;;
2813000;"Powiat olecki";359;4610;4997;918;272;4431;691;865;3789;5975;2883;2352;435;0;;
2814000;"Powiat olsztyński";2202;3492;8293;3360;660;3694;15811;2514;1911;6779;2166;8933;20337;125284;;
2815000;"Powiat ostródzki";117;3554;3582;184;899;3252;3604;696;4017;1341;3218;3083;11791;3039;;
2816000;"Powiat piski";131;3493;281;1034;540;2664;1479;1267;1827;388;9912;577;398;14839;;
2817000;"Powiat szczycieński";906;2880;7851;1605;0;2085;2404;1291;1402;364;15311;12034;4423;5024;;
2818000;"Powiat gołdapski";616;3641;325;2299;212;8006;30;185;0;760;354;2906;8973;329;;
2819000;"Powiat węgorzewski";80;199;0;0;0;0;0;423;0;351;95;0;0;1424;;
2861000;"Powiat m.Elbląg";1216;4218;534;0;368;1855;13504;27868;0;0;1553;2948;6875;1239;;
2862000;"Powiat m.Olsztyn";52998;982;9331;10081;1684;3696;3517;1886;4931;9106;34824;938;7345;6682;;
3001000;"Powiat chodzieski";3341;4171;5100;1738;3994;2035;3298;3587;1879;2775;1209;5671;2299;4249;;
3002000;"Powiat czarnkowsko-trzcianecki";5680;4547;9953;6157;1195;12818;26404;7474;8497;14770;2249;3934;4541;8686;;
3003000;"Powiat gnieźnieński";17841;15585;753;7045;12424;10096;5656;6882;1400;1853;20673;16952;29666;8782;;
3004000;"Powiat gostyński";0;0;1010;1624;909;4472;17709;7712;2695;9062;11881;9473;14849;12118;;
3005000;"Powiat grodziski";0;0;9109;3105;7754;6086;4559;5697;11445;4511;932;3136;2424;9763;;
3006000;"Powiat jarociński";1356;4196;9629;7393;5179;1875;2841;5090;6788;6712;19301;2951;3879;5897;;
3007000;"Powiat kaliski";1204;1482;2928;486;10144;6462;25388;2557;3885;6189;9355;2261;744;1193;;
3008000;"Powiat kępiński";15718;19717;7524;12719;2069;14954;27271;8328;33339;18619;45237;19087;25446;33441;;
3009000;"Powiat kolski";7310;1662;40;4783;3068;138;1427;4967;2117;1341;10621;2063;17106;267;;
3010000;"Powiat koniński";6213;3139;1878;19817;10554;12317;11118;3007;189;46411;4783;8273;8705;2510;;
3011000;"Powiat kościański";0;2944;8545;1082;4268;3175;7889;720;2438;3117;6422;3806;6762;9272;;
3012000;"Powiat krotoszyński";4209;6217;4205;14140;4885;7318;3442;20816;6559;15069;9637;9227;17219;3355;;
3013000;"Powiat leszczyński";494;0;0;2553;4774;5760;4750;3702;5394;2649;1189;5092;18774;7947;;
3014000;"Powiat międzychodzki";9340;3637;124;0;644;2814;6942;1574;1359;0;7365;49044;2112;2114;;
3015000;"Powiat nowotomyski";0;4482;6421;2125;797;3055;8432;1732;4417;0;837;3764;4496;5571;;
3016000;"Powiat obornicki";6461;6909;5165;11775;18331;937;15759;4143;3811;7672;5468;8932;7886;7808;;
3017000;"Powiat ostrowski";13402;14936;30205;28034;41943;10976;18696;9931;8890;9089;6373;16639;13008;56852;;
3018000;"Powiat ostrzeszowski";3814;2143;2693;3125;2328;3646;3596;5152;3503;3893;2896;12758;4478;1014;;
3019000;"Powiat pilski";8630;11947;11626;9740;5101;3186;8694;14008;8706;4852;5574;3773;27110;9085;;
3020000;"Powiat pleszewski";2748;7633;7730;1970;2421;9101;2281;2545;21558;4065;8417;9844;7277;3678;;
3021000;"Powiat poznański";115736;93144;250362;296093;208572;70259;56406;130571;55934;339691;241405;203502;439504;249310;;
3022000;"Powiat rawicki";0;0;1347;3257;2739;1168;3769;4059;0;511;2021;9244;445;3290;;
3023000;"Powiat słupecki";994;3670;432;0;4007;446;3554;1859;5915;2245;1319;1502;5387;3387;;
3024000;"Powiat szamotulski";17821;15687;1929;2475;2928;1410;3162;2103;2560;43;556;2063;1874;1880;;
3025000;"Powiat średzki";19033;16231;437;3954;2194;6873;5211;9252;13374;8387;14938;14442;9457;15680;;
3026000;"Powiat śremski";0;1922;11846;2608;2747;9115;2130;6393;2619;389;2946;4195;4312;5726;;
3027000;"Powiat turecki";1468;1245;2667;2414;634;441;4030;1397;907;5885;960;1301;495;12;;
3028000;"Powiat wągrowiecki";6875;921;3337;4868;447;450;2449;5546;3314;6774;3830;362;12763;9526;;
3029000;"Powiat wolsztyński";1205;0;7086;5223;2158;1188;3926;7524;20596;14638;7720;8019;2585;6166;;
3030000;"Powiat wrzesiński";2946;619;1654;12414;4266;28393;5855;17810;11252;11411;8390;68395;2923;14830;;
3031000;"Powiat złotowski";10039;3002;855;5319;2305;2648;2770;4296;6646;1677;9396;25961;9656;5477;;
3061000;"Powiat m.Kalisz";10315;3182;5522;3725;9755;4351;13420;14174;2762;4366;4144;8457;5210;3332;;
3062000;"Powiat m.Konin";839;6994;0;2743;3440;1243;0;4870;2692;948;4702;3615;1235;6705;;
3063000;"Powiat m.Leszno";4293;0;1053;11676;919;0;6400;5587;1594;858;3720;12761;26506;7474;;
3064000;"Powiat m.Poznań";65493;721;7859;42340;16758;19973;6919;19475;16953;17471;28996;10281;6650;21377;;
3201000;"Powiat białogardzki";367;1220;3233;1057;7439;3092;3286;2785;164;6665;2082;18301;4761;12812;;
3202000;"Powiat choszczeński";134;2533;235;912;600;805;1939;110;0;415;1170;1703;536;267;;
3203000;"Powiat drawski";2688;377;1617;452;5600;2770;1076;857;1380;2194;1201;1473;4861;1136;;
3204000;"Powiat goleniowski";19302;6816;131;214;2931;1957;2291;3240;5835;16017;52076;30578;108079;2672;;
3205000;"Powiat gryficki";943;567;1271;92;19;203;892;0;475;1795;720;0;0;0;;
3206000;"Powiat gryfiński";1701;1065;1237;2371;2006;1366;3627;3058;533;318;1652;2408;73197;72065;;
3207000;"Powiat kamieński";1014;1838;54;15;1338;668;0;3448;1229;0;1117;267;0;2199;;
3208000;"Powiat kołobrzeski";2845;5004;1108;2487;2560;297;499;2953;3088;8236;1406;3127;5258;3078;;
3209000;"Powiat koszaliński";6050;888;489;5736;786;1599;4765;1406;634;3195;450;7177;2122;7883;;
3210000;"Powiat myśliborski";3133;0;6954;256;358;158;711;269;938;4269;8197;3329;403;1341;;
3211000;"Powiat policki";628;7328;6351;6777;2355;4979;545;2707;10340;12318;2129;8405;168333;7108;;
3212000;"Powiat pyrzycki";861;1325;1552;447;151;614;884;8095;2502;4517;5967;619;1454;1407;;
3213000;"Powiat sławieński";989;289;1803;1977;4096;1428;1433;400;118;342;5520;2141;2206;1008;;
3214000;"Powiat stargardzki";6011;397;2080;7889;20288;7278;6009;4271;1611;2964;12880;8565;7876;13527;;
3215000;"Powiat szczecinecki";19078;10298;6603;1625;4614;5110;10201;3233;2858;1228;44162;1536;2260;2189;;
3216000;"Powiat świdwiński";4537;5710;618;644;862;0;285;178;1304;1212;605;897;1041;3466;;
3217000;"Powiat wałecki";0;1715;2100;148;2914;2681;2004;5404;2369;2325;3624;768;408;4736;;
3218000;"Powiat łobeski";1207;20416;1207;634;508;1069;54;1521;1019;397;3231;270;3484;665;;
3261000;"Powiat m.Koszalin";2152;1353;1571;164;6027;5549;4918;1605;1873;2766;8598;18278;5234;11381;;
3262000;"Powiat m.Szczecin";4045;14322;16168;15246;23375;16819;9510;25844;13165;17339;4366;10142;18955;68271;;
3263000;"Powiat m.Świnoujście";0;0;0;1130;3562;9298;143;632;2437;2406;2845;4025;160;16;;
