"Kod";"Nazwa";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2005;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2006;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2007;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2008;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2009;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2010;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2011;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2012;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2013;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2014;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2015;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2016;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2017;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2018;[m2]";"rok;zbiorniki, silosy i budynki magazynowe (PKOB 1252);ogółem;powierzchnia użytkowa;2019;[m2]";
0414000;"Powiat świecki";2912;345;254;3673;1141;330;88;72;188;1132;689;72;972;1741;;
0415000;"Powiat toruński";2183;434;37826;12500;15833;35969;11223;2117;4159;7776;8638;0;0;1505;;
0416000;"Powiat tucholski";268;875;1244;410;368;198;32;94;171;4015;628;1152;203;451;;
0417000;"Powiat wąbrzeski";3464;2958;2378;15001;10858;3483;6709;3987;2267;987;2639;418;47413;144;;
0418000;"Powiat włocławski";883;0;0;730;735;144;1897;1387;1173;1990;2860;2086;3032;8086;;
0419000;"Powiat żniński";4463;250;22;156;15155;835;3007;1678;316;5175;4858;997;2896;773;;
0461000;"Powiat m.Bydgoszcz";6199;18439;16298;24838;31560;9842;22246;6633;19593;25923;10527;60055;136657;8339;;
0462000;"Powiat m.Grudziądz";953;1605;5503;6900;507;1307;3266;37098;2528;9332;8853;10440;885;21729;;
0463000;"Powiat m.Toruń";21601;14164;14205;20519;17338;6018;9044;13949;18216;3690;19914;9090;20832;28129;;
0464000;"Powiat m.Włocławek";7609;21285;6115;11659;8104;10664;0;3930;4116;9637;1317;1245;5586;839;;
0601000;"Powiat bialski";2097;4836;6653;2216;8864;5644;9164;7820;3885;5017;10562;2180;5102;6771;;
0602000;"Powiat biłgorajski";2368;498;11016;429;1169;3934;4279;1972;688;3202;3335;4390;1025;3139;;
0603000;"Powiat chełmski";348;433;1770;1033;2358;0;453;0;147;0;5143;246;7133;621;;
0604000;"Powiat hrubieszowski";0;3958;1952;123;0;3769;150;1956;1613;1508;893;1438;4100;3946;;
0605000;"Powiat janowski";425;1838;0;0;216;0;18;6446;352;124;3787;723;950;2406;;
0606000;"Powiat krasnostawski";838;1532;211;0;574;3311;4812;2892;1492;1883;123;3087;1960;6447;;
0607000;"Powiat kraśnicki";1120;832;134;2457;838;29;1425;3930;1692;115;4307;1395;440;2851;;
