"Kod";"Nazwa";"rok;wpisane;spółki handlowe;2005;[-]";"rok;wpisane;spółki handlowe;2006;[-]";"rok;wpisane;spółki handlowe;2007;[-]";"rok;wpisane;spółki handlowe;2008;[-]";"rok;wpisane;spółki handlowe;2009;[-]";"rok;wpisane;spółki handlowe;2010;[-]";"rok;wpisane;spółki handlowe;2011;[-]";"rok;wpisane;spółki handlowe;2012;[-]";"rok;wpisane;spółki handlowe;2013;[-]";"rok;wpisane;spółki handlowe;2014;[-]";"rok;wpisane;spółki handlowe;2015;[-]";"rok;wpisane;spółki handlowe;2016;[-]";"rok;wpisane;spółki handlowe;2017;[-]";"rok;wpisane;spółki handlowe;2018;[-]";"rok;wpisane;spółki handlowe;2019;[-]";
3202000;"Powiat choszczeński";153;157;169;176;189;197;216;223;235;235;238;260;276;225;;
3203000;"Powiat drawski";153;152;154;161;165;172;174;183;194;201;213;213;210;153;;
3204000;"Powiat goleniowski";358;382;412;433;457;478;497;521;554;581;589;633;674;569;;
3205000;"Powiat gryficki";188;200;208;217;232;248;256;261;275;281;281;302;318;270;;
3206000;"Powiat gryfiński";391;405;415;416;431;442;459;490;515;539;540;564;592;466;;
3207000;"Powiat kamieński";205;220;226;224;234;242;238;248;262;268;261;281;298;244;;
3208000;"Powiat kołobrzeski";440;454;485;486;505;527;566;666;696;718;729;766;787;667;;
3209000;"Powiat koszaliński";205;215;226;240;244;255;259;272;288;309;327;339;362;315;;
3210000;"Powiat myśliborski";272;285;296;306;316;320;337;345;370;399;423;450;470;378;;
3211000;"Powiat policki";421;435;468;501;546;575;601;649;699;738;775;817;865;773;;
3212000;"Powiat pyrzycki";156;173;179;181;183;195;200;207;222;282;285;279;283;228;;
3213000;"Powiat sławieński";187;195;197;198;208;221;237;256;268;280;282;300;307;251;;
3214000;"Powiat stargardzki";460;480;512;538;571;597;629;669;715;750;765;809;844;677;;
3215000;"Powiat szczecinecki";281;291;302;312;321;326;332;347;361;380;379;375;366;275;;
3216000;"Powiat świdwiński";131;146;156;158;167;174;184;202;209;230;233;236;234;196;;
3217000;"Powiat wałecki";192;190;198;196;202;203;213;223;248;254;262;274;278;196;;
3218000;"Powiat łobeski";116;115;121;126;134;138;143;153;167;172;174;184;190;155;;
3261000;"Powiat m.Koszalin";972;1006;1032;1047;1094;1156;1198;1252;1322;1397;1420;1500;1532;1204;;
3262000;"Powiat m.Szczecin";5109;5377;5673;5968;6273;6639;6945;7424;8038;8528;8671;9294;9918;8412;;
3263000;"Powiat m.Świnoujście";272;279;283;296;298;307;316;327;337;358;363;378;389;300;;
