"Kod";"Nazwa";"rok;wpisane;spółki handlowe;2005;[-]";"rok;wpisane;spółki handlowe;2006;[-]";"rok;wpisane;spółki handlowe;2007;[-]";"rok;wpisane;spółki handlowe;2008;[-]";"rok;wpisane;spółki handlowe;2009;[-]";"rok;wpisane;spółki handlowe;2010;[-]";"rok;wpisane;spółki handlowe;2011;[-]";"rok;wpisane;spółki handlowe;2012;[-]";"rok;wpisane;spółki handlowe;2013;[-]";"rok;wpisane;spółki handlowe;2014;[-]";"rok;wpisane;spółki handlowe;2015;[-]";"rok;wpisane;spółki handlowe;2016;[-]";"rok;wpisane;spółki handlowe;2017;[-]";"rok;wpisane;spółki handlowe;2018;[-]";"rok;wpisane;spółki handlowe;2019;[-]";
1435000;"Powiat wyszkowski";176;184;192;196;202;212;229;246;264;279;282;311;323;279;;
1436000;"Powiat zwoleński";33;34;37;38;39;46;45;45;50;53;55;54;54;43;;
1437000;"Powiat żuromiński";47;51;50;52;53;53;58;70;82;81;83;96;104;92;;
1438000;"Powiat żyrardowski";222;222;236;250;264;277;291;306;320;342;356;396;437;393;;
1461000;"Powiat m.Ostrołęka";288;288;292;301;305;313;321;340;351;370;383;403;432;309;;
1462000;"Powiat m.Płock";833;862;904;922;951;988;1025;1082;1145;1198;1188;1252;1325;1065;;
1463000;"Powiat m.Radom";1385;1428;1460;1508;1546;1580;1631;1716;1804;1907;1989;2107;2189;1640;;
1464000;"Powiat m.Siedlce";445;455;483;492;505;517;537;558;605;645;656;706;759;623;;
1465000;"Powiat m. st. Warszawa";48370;52176;56510;59346;63212;68396;73732;81049;91220;99800;102214;110743;117602;104912;;
1601000;"Powiat brzeski";291;300;304;315;331;357;366;385;439;480;477;488;480;420;;
1602000;"Powiat głubczycki";76;80;85;87;97;98;100;106;119;134;132;131;126;104;;
1603000;"Powiat kędzierzyńsko-kozielski";408;419;446;454;479;495;525;565;586;620;629;660;661;566;;
1604000;"Powiat kluczborski";171;180;179;181;188;204;218;231;246;255;257;279;283;219;;
1605000;"Powiat krapkowicki";237;235;253;268;279;286;300;324;339;352;369;386;399;338;;
1606000;"Powiat namysłowski";118;131;137;140;148;149;161;175;199;209;209;216;220;199;;
1607000;"Powiat nyski";428;447;461;469;478;498;513;542;566;588;600;625;634;545;;
1608000;"Powiat oleski";148;158;165;169;173;180;183;194;202;217;220;237;255;246;;
1609000;"Powiat opolski";410;425;448;459;486;515;540;567;607;639;668;699;613;535;;
1610000;"Powiat prudnicki";116;121;126;122;131;144;154;158;166;169;169;173;174;131;;
1611000;"Powiat strzelecki";187;198;213;208;220;231;248;257;275;289;297;315;318;263;;
1661000;"Powiat m.Opole";1727;1792;1863;1906;1995;2071;2141;2230;2450;2574;2634;2810;2902;2374;;
1801000;"Powiat bieszczadzki";42;44;45;47;47;45;57;59;62;67;66;75;75;67;;
1802000;"Powiat brzozowski";58;60;61;59;60;67;84;87;102;104;105;136;148;143;;
1803000;"Powiat dębicki";347;359;389;401;423;451;465;499;517;556;557;593;616;586;;
1804000;"Powiat jarosławski";234;245;259;264;281;301;313;346;374;409;433;483;531;524;;
1805000;"Powiat jasielski";209;224;233;240;250;265;284;300;326;337;331;352;375;347;;
1806000;"Powiat kolbuszowski";75;80;82;90;90;96;103;112;121;137;144;169;189;182;;
1807000;"Powiat krośnieński";128;133;142;145;155;163;175;188;209;225;236;264;285;269;;
1808000;"Powiat leżajski";90;95;106;105;109;113;118;122;137;164;170;179;190;183;;
1809000;"Powiat lubaczowski";61;60;65;69;71;75;82;85;89;91;91;103;119;111;;
1810000;"Powiat łańcucki";151;161;160;164;180;197;205;221;244;275;287;331;364;368;;
1811000;"Powiat mielecki";365;382;429;459;474;500;530;580;638;682;699;737;776;728;;
1812000;"Powiat niżański";63;62;64;66;75;82;88;94;104;112;111;115;120;99;;
1813000;"Powiat przemyski";62;66;70;77;81;89;97;112;122;133;146;196;220;208;;
1814000;"Powiat przeworski";94;95;96;101;108;119;134;143;160;164;171;200;224;213;;
1815000;"Powiat ropczycko-sędziszowski";83;87;95;98;104;113;123;132;143;157;163;183;201;186;;
1816000;"Powiat rzeszowski";315;345;377;395;411;427;486;532;614;675;713;831;915;906;;
