"Kod";"Nazwa";"sektor publiczny - spółki handlowe;2003;[-]";"sektor publiczny - spółki handlowe;2004;[-]";"sektor publiczny - spółki handlowe;2005;[-]";"sektor publiczny - spółki handlowe;2006;[-]";"sektor publiczny - spółki handlowe;2007;[-]";"sektor publiczny - spółki handlowe;2008;[-]";"sektor publiczny - spółki handlowe;2009;[-]";"sektor publiczny - spółki handlowe;2010;[-]";"sektor publiczny - spółki handlowe;2011;[-]";"sektor publiczny - spółki handlowe;2012;[-]";"sektor publiczny - spółki handlowe;2013;[-]";"sektor publiczny - spółki handlowe;2014;[-]";"sektor publiczny - spółki handlowe;2015;[-]";"sektor publiczny - spółki handlowe;2016;[-]";"sektor publiczny - spółki handlowe;2017;[-]";"sektor publiczny - spółki handlowe;2018;[-]";
0201000;"Powiat bolesławiecki";1;2;1;0;0;0;0;1;1;0;1;0;0;0;0;0;
0202000;"Powiat dzierżoniowski";2;2;0;0;1;1;0;0;0;0;1;0;0;0;0;0;
0203000;"Powiat głogowski";0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
0204000;"Powiat górowski";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
0206000;"Powiat jeleniogórski";1;0;1;0;1;1;0;0;2;0;3;1;0;0;0;0;
0207000;"Powiat kamiennogórski";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0208000;"Powiat kłodzki";0;1;0;1;0;1;0;0;3;2;1;0;0;0;0;0;
0209000;"Powiat legnicki";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
0210000;"Powiat lubański";1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;
0211000;"Powiat lubiński";0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;1;
0212000;"Powiat lwówecki";0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;
0213000;"Powiat milicki";0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;
0214000;"Powiat oleśnicki";1;0;0;2;1;0;0;0;0;0;1;1;0;0;0;0;
0215000;"Powiat oławski";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
0216000;"Powiat polkowicki";0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;
0217000;"Powiat strzeliński";0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;
0218000;"Powiat średzki";0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;
0219000;"Powiat świdnicki";1;1;1;3;0;1;0;0;1;1;3;0;0;0;0;1;
0220000;"Powiat trzebnicki";0;0;0;0;0;0;0;0;1;1;1;0;0;0;2;0;
0221000;"Powiat wałbrzyski";3;1;0;0;0;2;1;2;1;0;0;0;0;0;0;0;
0222000;"Powiat wołowski";1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;
0223000;"Powiat wrocławski";0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;
0224000;"Powiat ząbkowicki";2;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;
0225000;"Powiat zgorzelecki";0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
0226000;"Powiat złotoryjski";0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;
0261000;"Powiat m.Jelenia Góra";0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;
0262000;"Powiat m.Legnica";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
0264000;"Powiat m.Wrocław";2;2;2;2;5;6;3;7;4;4;1;6;0;0;0;0;
0401000;"Powiat aleksandrowski";0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;
0403000;"Powiat bydgoski";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
