"Kod";"Nazwa";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2005;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2006;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2007;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2008;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2009;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2010;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2011;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2012;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2013;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2014;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2015;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2016;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2017;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2018;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2019;[m2]";
0410000;"Powiat nakielski";14897;12329;30973;16677;15214;19758;19218;24082;28975;27554;26537;33101;22098;26497;;
0411000;"Powiat radziejowski";10188;28228;28050;18445;21898;23247;11763;19794;10187;17302;17621;9672;31261;20658;;
0412000;"Powiat rypiński";10739;30965;34759;21434;19954;14840;23832;16174;27218;19307;29282;13996;18608;16678;;
0413000;"Powiat sępoleński";6178;11604;46254;13824;10911;5900;14221;11600;33643;16182;18760;12973;27209;19866;;
0414000;"Powiat świecki";19061;29533;19776;16743;6536;16022;7658;6544;8958;8679;18241;5356;11178;9799;;
0415000;"Powiat toruński";34383;34629;118917;42963;29116;49670;29072;28240;20673;37721;20072;3488;3060;9581;;
0416000;"Powiat tucholski";10836;16493;11953;21394;7503;9868;19969;9483;14842;13801;19366;14509;12793;10988;;
0417000;"Powiat wąbrzeski";15263;20751;29022;21722;21845;13400;13876;16197;15676;9552;13961;7183;79030;9718;;
0418000;"Powiat włocławski";5253;24283;22563;40023;9321;12697;7904;10797;12448;15496;18225;14291;21627;23654;;
0419000;"Powiat żniński";20685;14549;18367;14291;27714;28145;39097;42797;13169;29017;22889;19837;35205;33397;;
0461000;"Powiat m.Bydgoszcz";18152;58192;37037;209206;66265;60866;84075;61360;125364;85517;297296;166807;210429;52159;;
0462000;"Powiat m.Grudziądz";11897;22277;28570;38688;15257;24543;15474;101822;37202;19705;16915;46334;20883;51523;;
0463000;"Powiat m.Toruń";144737;97751;86073;78949;86030;86373;153785;85053;55909;120638;75479;28163;61555;93927;;
0464000;"Powiat m.Włocławek";28989;36533;29377;49027;56994;20981;1434;24999;15087;44195;33244;16434;15959;14469;;
