"Kod";"Nazwa";"sektor prywatny - ogółem;2003;[-]";"sektor prywatny - ogółem;2004;[-]";"sektor prywatny - ogółem;2005;[-]";"sektor prywatny - ogółem;2006;[-]";"sektor prywatny - ogółem;2007;[-]";"sektor prywatny - ogółem;2008;[-]";"sektor prywatny - ogółem;2009;[-]";"sektor prywatny - ogółem;2010;[-]";"sektor prywatny - ogółem;2011;[-]";"sektor prywatny - ogółem;2012;[-]";"sektor prywatny - ogółem;2013;[-]";"sektor prywatny - ogółem;2014;[-]";"sektor prywatny - ogółem;2015;[-]";"sektor prywatny - ogółem;2016;[-]";"sektor prywatny - ogółem;2017;[-]";"sektor prywatny - ogółem;2018;[-]";
0862000;"Powiat m.Zielona Góra";1116;1107;1218;1334;1298;1351;1515;1676;1479;2060;1567;1534;1514;1381;1415;1550;
1001000;"Powiat bełchatowski";561;486;547;613;562;655;736;919;797;845;788;802;738;704;693;776;
1002000;"Powiat kutnowski";631;524;549;664;612;630;753;803;689;624;616;674;631;573;582;579;
1003000;"Powiat łaski";261;246;259;308;299;359;352;451;353;343;379;370;345;350;374;429;
1004000;"Powiat łęczycki";258;218;251;254;272;247;272;312;266;297;284;260;251;235;255;290;
1005000;"Powiat łowicki";407;345;335;411;419;477;439;570;504;541;503;507;409;462;435;478;
1006000;"Powiat łódzki wschodni";411;359;471;538;505;544;731;823;766;672;671;649;642;598;637;698;
1007000;"Powiat opoczyński";361;271;297;360;414;481;482;541;428;422;463;432;426;338;414;434;
1008000;"Powiat pabianicki";817;755;786;878;902;940;1198;1314;1075;1156;1194;1090;1082;1110;1067;1108;
1009000;"Powiat pajęczański";252;249;250;306;278;320;325;373;360;320;301;370;335;304;291;351;
1010000;"Powiat piotrkowski";439;342;370;461;431;517;543;658;535;511;532;612;527;538;554;733;
1011000;"Powiat poddębicki";229;156;203;237;218;272;293;355;251;287;304;272;279;272;247;287;
1012000;"Powiat radomszczański";720;589;645;705;645;849;995;1086;823;920;901;795;824;797;738;907;
1013000;"Powiat rawski";274;228;226;277;308;307;308;409;288;340;320;293;287;249;303;330;
1014000;"Powiat sieradzki";717;573;634;714;716;768;894;961;874;739;858;898;789;877;884;922;
1015000;"Powiat skierniewicki";134;110;108;147;141;180;204;222;162;208;158;198;191;183;190;285;
1016000;"Powiat tomaszowski";691;579;641;781;826;915;977;1088;930;906;902;860;745;737;784;881;
1017000;"Powiat wieluński";465;382;402;501;433;506;586;700;561;531;564;521;459;577;510;562;
1018000;"Powiat wieruszowski";289;209;190;236;234;285;326;332;305;296;299;303;310;318;280;326;
1019000;"Powiat zduńskowolski";442;396;447;563;533;572;668;725;578;542;549;567;577;606;551;637;
1020000;"Powiat zgierski";1070;901;1127;1266;1223;1314;1605;1613;1474;1395;1421;1476;1383;1399;1432;1389;
1021000;"Powiat brzeziński";168;135;209;235;243;239;283;306;224;234;261;244;217;249;234;310;
1061000;"Powiat m.Łódź";6123;5624;6429;6746;6686;6902;7969;9025;7678;8369;8133;8087;7420;7236;7202;7106;
1062000;"Powiat m.Piotrków Trybunalski";558;487;540;579;631;708;799;934;662;663;723;615;603;562;595;578;
1063000;"Powiat m.Skierniewice";335;305;348;400;383;381;447;529;380;438;415;413;338;376;367;333;
1201000;"Powiat bocheński";439;394;513;563;622;658;745;908;826;759;766;798;717;704;780;857;
1202000;"Powiat brzeski";390;360;378;488;531;573;549;675;582;633;621;649;610;624;700;869;
1203000;"Powiat chrzanowski";704;652;691;780;746;790;998;1183;904;901;945;954;792;806;946;969;
1204000;"Powiat dąbrowski";173;141;196;245;221;251;321;381;312;299;297;326;294;293;369;461;
1205000;"Powiat gorlicki";538;494;622;749;724;798;827;955;902;811;799;771;792;751;704;823;
1206000;"Powiat krakowski";1297;1173;1354;1669;1647;1973;2375;2751;2490;2385;2346;2573;2229;2199;2391;2640;
1207000;"Powiat limanowski";538;551;627;763;776;1008;1155;1315;898;987;938;1175;1167;1069;1117;1345;
1208000;"Powiat miechowski";247;193;182;232;229;326;298;337;326;294;348;395;319;327;292;364;
1209000;"Powiat myślenicki";538;480;546;722;787;842;1000;1316;939;1014;1075;1068;955;949;1111;1208;
1210000;"Powiat nowosądecki";957;898;1025;1341;1299;1559;1717;1763;1688;1709;1732;1909;1826;1789;1818;2232;
1211000;"Powiat nowotarski";765;986;1102;1256;1220;1366;1535;1763;1445;1571;1597;1701;1611;1531;1771;2104;
1212000;"Powiat olkuski";666;557;594;747;697;751;965;1151;844;838;784;910;800;728;756;896;
1213000;"Powiat oświęcimski";743;890;800;877;880;911;1011;1502;1166;1139;1070;1131;967;926;987;1104;
1214000;"Powiat proszowicki";172;152;148;167;173;194;248;311;247;270;325;306;294;297;306;398;
1215000;"Powiat suski";411;364;372;421;457;523;641;665;589;611;563;629;645;624;653;752;
1216000;"Powiat tarnowski";794;623;777;925;891;1013;1136;1405;1167;1245;1242;1258;1221;1194;1290;1473;
1217000;"Powiat tatrzański";562;489;526;597;769;779;866;1008;779;804;716;772;839;804;865;956;
1218000;"Powiat wadowicki";723;674;812;997;974;1056;1282;1410;1175;1142;1222;1222;1160;1095;1146;1336;
1219000;"Powiat wielicki";618;533;579;755;780;956;1082;1232;1167;1220;1179;1211;1178;1112;1209;1280;
1261000;"Powiat m.Kraków";6486;6370;6894;8163;7861;8695;10148;11733;9966;11125;10743;10189;8569;8461;8861;9392;
1262000;"Powiat m.Nowy Sącz";687;602;678;842;757;942;1142;1092;945;970;800;910;765;742;733;828;
1263000;"Powiat m.Tarnów";820;719;800;885;919;943;1237;1235;959;1074;1005;914;997;764;811;897;
1401000;"Powiat białobrzeski";157;123;186;177;192;217;230;259;202;227;233;240;220;178;183;246;
1402000;"Powiat ciechanowski";547;462;497;612;593;592;736;797;584;693;724;748;707;626;630;680;
1403000;"Powiat garwoliński";464;407;424;505;595;690;692;828;671;688;710;657;655;599;620;780;
1404000;"Powiat gostyniński";269;206;246;329;341;380;377;408;381;351;367;350;419;307;346;369;
1405000;"Powiat grodziski";602;532;574;722;683;779;727;1158;948;930;1074;1021;923;895;884;1064;
1406000;"Powiat grójecki";436;413;425;496;545;527;648;750;654;669;680;685;588;526;639;699;
1407000;"Powiat kozienicki";258;216;225;286;253;286;330;350;313;336;315;340;270;239;317;364;
1408000;"Powiat legionowski";768;722;812;923;1026;1089;1071;1531;1339;1337;1308;1317;1268;1189;1184;1262;
1409000;"Powiat lipski";143;116;103;145;148;184;171;198;220;190;172;182;157;142;171;205;
1410000;"Powiat łosicki";115;97;115;127;171;209;252;267;213;192;226;211;186;168;174;233;
1411000;"Powiat makowski";229;212;242;284;289;300;318;381;311;271;319;328;340;294;281;330;
