"Kod";"Nazwa";"sektor prywatny - ogółem;2003;[-]";"sektor prywatny - ogółem;2004;[-]";"sektor prywatny - ogółem;2005;[-]";"sektor prywatny - ogółem;2006;[-]";"sektor prywatny - ogółem;2007;[-]";"sektor prywatny - ogółem;2008;[-]";"sektor prywatny - ogółem;2009;[-]";"sektor prywatny - ogółem;2010;[-]";"sektor prywatny - ogółem;2011;[-]";"sektor prywatny - ogółem;2012;[-]";"sektor prywatny - ogółem;2013;[-]";"sektor prywatny - ogółem;2014;[-]";"sektor prywatny - ogółem;2015;[-]";"sektor prywatny - ogółem;2016;[-]";"sektor prywatny - ogółem;2017;[-]";"sektor prywatny - ogółem;2018;[-]";
2401000;"Powiat będziński";908;867;906;1029;1051;1186;1326;1788;1187;1389;1311;1262;1089;985;1034;1147;
2402000;"Powiat bielski";901;777;891;1103;1080;1178;1431;1688;1295;1355;1392;1420;1163;1144;1252;1345;
2403000;"Powiat cieszyński";1002;988;1226;1512;1364;1380;1620;1834;1525;1632;1433;1540;1386;1218;1141;1381;
2404000;"Powiat częstochowski";753;737;808;914;848;995;1102;1334;942;1029;1043;1050;908;996;907;1102;
2405000;"Powiat gliwicki";439;402;432;557;565;571;690;924;709;709;662;724;627;546;550;678;
2406000;"Powiat kłobucki";500;465;488;522;492;548;670;727;742;685;638;693;663;616;617;787;
2407000;"Powiat lubliniecki";301;337;349;426;383;485;508;670;490;567;537;575;497;455;528;552;
2408000;"Powiat mikołowski";418;419;485;595;599;581;803;911;758;726;692;683;608;651;676;770;
2409000;"Powiat myszkowski";543;431;482;492;483;547;619;740;577;652;616;623;500;476;483;564;
2410000;"Powiat pszczyński";499;467;477;585;571;624;851;1064;808;783;817;804;705;677;687;718;
2411000;"Powiat raciborski";418;411;432;481;512;507;696;772;609;636;587;613;477;434;451;538;
2412000;"Powiat rybnicki";289;259;248;340;337;398;477;539;439;425;430;454;412;409;420;436;
2413000;"Powiat tarnogórski";683;618;634;851;861;895;1202;1412;1076;1030;1121;1124;1009;887;953;1014;
2414000;"Powiat bieruńsko-lędziński";229;218;256;272;260;318;370;464;402;343;402;463;361;349;340;395;
2415000;"Powiat wodzisławski";655;678;735;816;739;796;955;1191;1007;954;889;990;871;787;779;810;
2416000;"Powiat zawierciański";672;614;715;729;721;755;903;1068;877;955;827;860;763;723;668;781;
2417000;"Powiat żywiecki";796;675;725;864;887;981;1175;1369;1099;1176;1155;1215;1099;1036;1083;1299;
2461000;"Powiat m.Bielsko-Biała";1664;1467;1610;1725;1642;1911;2358;2333;1966;2144;2015;1903;1641;1510;1523;1578;
2462000;"Powiat m.Bytom";952;834;911;950;1034;1093;1205;1339;1143;1064;1174;1131;1001;923;834;1014;
2463000;"Powiat m.Chorzów";658;628;717;735;693;792;1019;1062;890;1003;862;918;796;724;709;809;
2464000;"Powiat m.Częstochowa";2153;1939;2170;2289;2135;2587;2750;2901;2423;2443;2404;2330;1968;1803;1821;1796;
2465000;"Powiat m.Dąbrowa Górnicza";926;803;929;1056;988;1011;1299;1530;1036;1213;1170;1109;926;808;866;890;
2466000;"Powiat m.Gliwice";1305;1208;1255;1394;1499;1486;1887;2102;1742;1797;1642;1625;1413;1382;1377;1468;
2467000;"Powiat m.Jastrzębie-Zdrój";508;422;433;527;490;552;651;677;566;545;506;556;488;457;447;509;
2468000;"Powiat m.Jaworzno";542;475;523;637;557;581;659;831;683;748;681;682;636;558;596;638;
2469000;"Powiat m.Katowice";2416;2249;2389;2512;2412;2669;3317;3921;3220;3650;3541;3342;2683;2404;2459;2605;
2470000;"Powiat m.Mysłowice";381;365;453;498;454;419;576;791;598;573;574;586;491;454;453;558;
2471000;"Powiat m.Piekary Śląskie";290;258;303;354;273;311;376;530;400;420;425;402;286;298;302;352;
2472000;"Powiat m.Ruda Śląska";622;628;619;693;768;773;934;1149;928;917;815;808;799;688;747;788;
2473000;"Powiat m.Rybnik";749;717;750;814;804;885;1119;1314;1014;968;1012;1021;931;856;879;928;
2474000;"Powiat m.Siemianowice Śląskie";495;449;495;545;473;458;654;726;506;501;496;502;452;391;401;471;
2475000;"Powiat m.Sosnowiec";1612;1449;1480;1647;1557;1624;1851;2395;1802;1826;1919;1630;1618;1374;1435;1514;
2476000;"Powiat m.Świętochłowice";256;253;288;273;261;304;356;447;361;334;305;307;272;257;289;281;
2477000;"Powiat m.Tychy";942;827;877;989;937;939;1200;1288;1124;1113;1228;1078;940;830;877;980;
2478000;"Powiat m.Zabrze";891;913;929;1069;1022;1087;1191;1440;1192;1223;1126;1149;1052;1035;1127;1081;
2479000;"Powiat m.Żory";391;343;356;365;393;374;570;554;471;432;464;456;411;419;403;474;
2601000;"Powiat buski";289;264;323;306;332;326;434;424;380;335;349;392;361;420;476;511;
2602000;"Powiat jędrzejowski";449;339;389;458;400;487;493;527;521;473;564;460;435;450;533;651;
2603000;"Powiat kazimierski";104;101;85;106;134;141;161;190;157;181;152;117;124;108;151;180;
2604000;"Powiat kielecki";897;822;848;1150;1102;1287;1443;1641;1438;1763;1628;1720;1509;1706;1863;2040;
2605000;"Powiat konecki";385;365;426;532;476;559;630;650;540;613;545;568;546;560;574;670;
2606000;"Powiat opatowski";204;154;156;209;212;222;253;349;205;268;248;235;233;231;296;437;
2607000;"Powiat ostrowiecki";673;590;670;805;684;816;911;1108;814;815;835;748;669;679;663;874;
2608000;"Powiat pińczowski";182;124;123;184;178;160;225;201;213;190;212;196;196;197;217;235;
2609000;"Powiat sandomierski";329;253;271;335;287;339;380;450;385;432;360;351;375;373;423;463;
2610000;"Powiat skarżyski";495;455;500;540;520;583;693;846;631;720;994;728;709;616;691;655;
2611000;"Powiat starachowicki";460;444;498;552;573;629;697;896;635;649;764;674;571;578;609;652;
2612000;"Powiat staszowski";325;215;258;340;315;383;407;494;411;366;350;373;318;374;386;437;
2613000;"Powiat włoszczowski";316;210;265;250;224;220;256;322;296;321;314;365;331;285;272;321;
2661000;"Powiat m.Kielce";1748;1501;1752;1862;1808;1870;2017;2392;2174;2145;2193;1925;1917;1734;1733;1840;
2801000;"Powiat bartoszycki";250;228;354;288;402;323;506;496;339;412;417;397;285;318;313;373;
2802000;"Powiat braniewski";245;224;287;272;236;293;281;300;280;236;279;284;226;268;240;270;
2803000;"Powiat działdowski";339;325;373;389;475;468;452;532;369;403;450;448;373;351;375;438;
2804000;"Powiat elbląski";307;300;368;374;322;371;434;405;423;374;406;392;382;395;381;461;
2805000;"Powiat ełcki";411;482;547;569;586;672;639;777;599;668;640;646;544;554;601;676;
2806000;"Powiat giżycki";360;299;473;446;463;435;456;506;524;440;463;488;430;384;405;495;
2807000;"Powiat iławski";555;516;537;586;709;739;887;928;543;773;752;675;611;583;548;694;
2808000;"Powiat kętrzyński";363;331;309;376;331;428;475;489;448;385;366;381;324;326;334;337;
2809000;"Powiat lidzbarski";210;191;226;253;253;266;317;360;262;271;278;302;259;237;278;315;
2810000;"Powiat mrągowski";305;322;411;455;454;485;541;565;418;462;477;444;379;398;451;521;
2811000;"Powiat nidzicki";140;163;173;211;214;243;221;298;212;224;211;221;181;203;194;219;
2812000;"Powiat nowomiejski";236;232;302;310;325;316;375;408;243;333;357;351;299;250;293;349;
2813000;"Powiat olecki";161;146;179;342;213;271;282;334;246;323;267;268;226;194;236;296;
2814000;"Powiat olsztyński";578;569;618;819;777;887;1006;1171;1030;1048;1034;1017;924;858;972;1127;
2815000;"Powiat ostródzki";660;616;686;784;783;881;915;957;738;777;787;773;681;637;661;734;
2816000;"Powiat piski";329;350;475;458;371;420;419;500;428;458;416;432;362;328;345;439;
2817000;"Powiat szczycieński";324;372;392;445;429;477;502;499;521;491;483;538;441;448;446;536;
2818000;"Powiat gołdapski";159;116;156;173;184;207;208;232;170;185;188;196;135;127;154;216;
2819000;"Powiat węgorzewski";125;125;162;170;157;161;156;209;157;131;158;179;112;115;119;155;
2861000;"Powiat m.Elbląg";1155;1158;1212;1263;1018;1224;1474;1370;1186;1107;1164;1082;1046;947;999;1128;
2862000;"Powiat m.Olsztyn";1433;1327;1474;1672;1565;1649;2086;2197;1871;1859;2142;1826;1582;1475;1581;1680;
3001000;"Powiat chodzieski";288;234;376;413;421;416;423;554;406;456;437;442;380;375;421;402;
3002000;"Powiat czarnkowsko-trzcianecki";436;366;486;611;551;599;647;806;613;773;689;675;603;577;594;712;
3003000;"Powiat gnieźnieński";900;893;965;1224;1265;1319;1304;1480;1357;1217;1361;1394;1221;1031;1025;1217;
3004000;"Powiat gostyński";361;327;468;501;514;619;699;839;604;683;656;568;647;583;604;720;
3005000;"Powiat grodziski";277;217;297;373;387;348;411;484;392;411;416;459;350;401;377;465;
3006000;"Powiat jarociński";411;362;478;462;540;585;618;737;578;681;594;628;506;511;501;613;
3007000;"Powiat kaliski";398;384;425;441;451;499;522;616;540;544;530;600;551;541;523;697;
3008000;"Powiat kępiński";283;301;297;362;425;443;483;555;437;454;427;439;431;402;438;555;
3009000;"Powiat kolski";425;393;478;519;473;508;506;639;604;660;554;540;552;534;533;548;
3010000;"Powiat koniński";480;388;526;725;772;878;876;985;905;930;1015;1073;962;1046;1261;1420;
3011000;"Powiat kościański";553;543;556;698;652;613;620;712;702;586;683;645;590;561;583;677;
3012000;"Powiat krotoszyński";384;331;432;571;626;545;649;628;534;548;573;535;533;455;485;545;
3013000;"Powiat leszczyński";253;244;270;391;406;496;449;527;409;434;490;460;492;444;470;545;
3014000;"Powiat międzychodzki";237;220;222;319;283;348;363;360;369;308;304;327;308;260;224;301;
3015000;"Powiat nowotomyski";424;374;451;533;574;624;665;745;600;652;697;645;661;570;544;662;
3016000;"Powiat obornicki";315;309;391;455;461;479;441;536;483;475;496;501;429;409;467;593;
3017000;"Powiat ostrowski";964;1021;1220;1288;1249;1293;1458;1532;1388;1352;1383;1329;1195;1103;1199;1571;
3018000;"Powiat ostrzeszowski";324;296;334;417;406;479;532;572;452;521;481;490;456;444;501;550;
3019000;"Powiat pilski";872;879;1025;1123;1030;1216;1143;1386;1223;1030;1184;1186;1015;975;1036;1235;
3020000;"Powiat pleszewski";273;274;445;447;568;469;425;629;401;582;486;552;433;405;396;478;
3021000;"Powiat poznański";2058;1968;2366;3246;3252;3468;3911;4518;4152;4308;4537;4542;4078;3775;4065;4674;
3022000;"Powiat rawicki";320;246;310;383;377;395;468;559;471;447;481;430;444;445;479;499;
3023000;"Powiat słupecki";287;284;326;409;392;403;480;538;435;534;502;542;492;494;511;576;
3024000;"Powiat szamotulski";441;445;540;618;612;623;719;915;727;785;740;712;631;607;636;791;
3025000;"Powiat średzki";302;279;360;465;465;444;471;522;517;524;569;500;470;452;488;514;
3026000;"Powiat śremski";332;318;323;473;487;579;521;599;504;550;550;554;493;470;472;517;
3027000;"Powiat turecki";409;328;415;505;518;527;592;671;576;587;584;609;543;571;664;852;
3028000;"Powiat wągrowiecki";348;385;454;564;511;642;655;667;573;593;680;599;631;520;572;564;
3029000;"Powiat wolsztyński";349;339;328;410;412;448;561;514;465;447;453;488;442;372;411;482;
3030000;"Powiat wrzesiński";425;358;391;560;566;587;562;847;636;713;654;675;631;587;539;647;
3031000;"Powiat złotowski";309;303;358;509;414;470;493;562;470;523;578;484;441;409;445;514;
3061000;"Powiat m.Kalisz";955;896;1022;1032;932;994;1061;1296;994;1148;1017;952;791;766;830;882;
3062000;"Powiat m.Konin";643;583;661;699;703;821;820;930;761;843;728;727;567;615;743;731;
3063000;"Powiat m.Leszno";532;556;626;652;640;767;756;861;655;765;763;726;636;566;597;585;
3064000;"Powiat m.Poznań";5428;5161;6091;6693;6667;7251;7902;8514;8750;8978;9042;8938;6413;5946;6154;6726;
3201000;"Powiat białogardzki";310;325;369;391;365;435;442;548;471;446;521;409;411;418;420;443;
3202000;"Powiat choszczeński";268;316;398;494;483;467;455;528;398;427;402;442;409;375;349;409;
3203000;"Powiat drawski";337;355;421;441;413;429;432;521;407;425;410;412;412;361;440;450;
3204000;"Powiat goleniowski";582;557;645;1020;825;908;905;881;792;820;789;806;729;751;757;799;
3205000;"Powiat gryficki";626;532;615;656;702;792;779;926;694;765;710;712;738;702;658;690;
3206000;"Powiat gryfiński";572;534;704;854;748;893;842;891;883;750;828;823;828;704;768;829;
3207000;"Powiat kamieński";515;451;531;584;672;607;606;621;608;533;646;568;600;589;568;594;
3208000;"Powiat kołobrzeski";800;661;772;847;849;966;954;1013;1055;1061;978;973;887;900;955;1039;
3209000;"Powiat koszaliński";517;432;479;572;578;634;641;697;729;662;708;751;655;645;666;783;
3210000;"Powiat myśliborski";434;391;523;654;660;646;709;741;604;593;586;640;553;485;558;622;
3211000;"Powiat policki";500;541;654;862;818;869;926;1083;1019;991;911;1024;943;877;889;989;
3212000;"Powiat pyrzycki";239;297;396;486;408;435;413;410;370;292;336;345;336;317;334;419;
3213000;"Powiat sławieński";393;362;497;508;579;582;559;638;573;520;578;584;493;491;529;614;
3214000;"Powiat stargardzki";911;950;1121;1274;1191;1380;1376;1329;1247;1273;1186;1173;1166;1091;1129;1156;
3215000;"Powiat szczecinecki";483;396;497;538;574;574;632;744;549;610;566;627;600;495;526;553;
3216000;"Powiat świdwiński";237;227;283;293;290;328;375;410;301;365;396;332;312;277;352;359;
3217000;"Powiat wałecki";331;299;417;418;371;422;462;482;416;392;422;431;404;330;351;362;
3218000;"Powiat łobeski";217;212;294;347;324;386;351;408;298;329;308;307;288;233;247;281;
3261000;"Powiat m.Koszalin";1070;1049;1069;1127;1136;1181;1349;1248;1233;1336;1294;1304;1148;1010;1046;1169;
3262000;"Powiat m.Szczecin";4020;4125;4527;5040;5095;5244;5882;5934;5493;5427;5693;5639;4849;4719;4634;4765;
3263000;"Powiat m.Świnoujście";382;358;408;465;407;483;520;510;568;487;488;525;445;410;461;459;
