"Kod";"Nazwa";"ogółem;2002;[zł]";"ogółem;2003;[zł]";"ogółem;2004;[zł]";"ogółem;2005;[zł]";"ogółem;2006;[zł]";"ogółem;2007;[zł]";"ogółem;2008;[zł]";"ogółem;2009;[zł]";"ogółem;2010;[zł]";"ogółem;2011;[zł]";"ogółem;2012;[zł]";"ogółem;2013;[zł]";"ogółem;2014;[zł]";"ogółem;2015;[zł]";"ogółem;2016;[zł]";"ogółem;2017;[zł]";"ogółem;2018;[zł]";
0401000;"Powiat aleksandrowski";1666,30;1718,03;1768,67;1813,70;1931,33;2048,15;2264,20;2362,55;2529,72;2624,54;2752,37;2913,18;2992,70;3099,06;3170,04;3399,70;;
0402000;"Powiat brodnicki";1732,43;1773,08;1838,10;1939,95;2041,19;2198,64;2367,29;2454,56;2593,62;2714,96;2878,25;2989,17;3146,55;3165,06;3348,46;3552,02;;
0403000;"Powiat bydgoski";1741,56;1784,25;1841,90;1930,38;1966,50;2236,28;2538,37;2611,54;2710,17;2876,85;3028,70;3233,47;3410,14;3548,05;3656,85;3933,52;;
0404000;"Powiat chełmiński";1876,56;1950,95;2045,35;1779,56;1919,16;2108,73;2269,91;2452,10;2685,20;2772,46;2901,58;3095,76;3250,60;3299,94;3435,24;3639,96;;
0405000;"Powiat golubsko-dobrzyński";1704,25;1728,81;1810,65;1892,63;1978,27;2164,60;2394,01;2492,92;2655,44;2864,08;3047,13;3179,59;3374,60;3492,49;3675,99;3926,17;;
0406000;"Powiat grudziądzki";1668,70;1699,67;1804,01;1951,27;1984,16;2126,35;2362,16;2483,55;2634,23;2840,81;3014,90;3136,50;3305,50;3403,47;3564,13;3748,43;;
0407000;"Powiat inowrocławski";1878,98;1913,68;1988,00;2039,85;2127,09;2251,00;2538,74;2688,19;2784,22;2889,59;2996,73;3096,02;3196,03;3257,22;3427,27;3626,17;;
0408000;"Powiat lipnowski";1622,21;1710,96;1708,61;1921,54;1968,87;2074,42;2337,65;2436,37;2541,26;2668,15;2820,97;2886,36;2898,10;2859,77;3056,40;3218,45;;
0409000;"Powiat mogileński";1676,93;1727,76;1800,77;1863,38;1977,45;2167,70;2387,27;2550,92;2610,47;2785,00;2860,46;2949,32;3155,63;3317,85;3398,81;3678,82;;
0410000;"Powiat nakielski";1751,93;1784,94;1852,69;1932,12;1997,90;2145,00;2375,03;2539,05;2702,71;2868,29;2988,21;3080,04;3122,28;3182,69;3321,17;3468,65;;
0411000;"Powiat radziejowski";1682,98;1774,56;1820,47;1902,61;1994,04;2146,56;2346,78;2421,58;2580,17;2687,99;2737,21;2858,06;2931,39;3095,39;3190,28;3378,02;;
0412000;"Powiat rypiński";1655,63;1753,19;1830,74;1865,83;2016,12;2144,46;2376,28;2482,02;2645,83;2743,36;2894,87;2983,31;3089,22;3134,03;3272,60;3464,17;;
0413000;"Powiat sępoleński";1574,75;1606,38;1736,88;1811,71;1901,51;2047,91;2296,09;2537,61;2696,45;2820,74;2928,20;3077,03;3148,04;3232,37;3324,28;3529,86;;
0414000;"Powiat świecki";2103,67;2191,37;2210,25;2208,99;2290,19;2465,01;2711,04;2813,48;2901,68;3031,32;3171,00;3343,53;3482,66;3516,40;3630,37;3882,92;;
0415000;"Powiat toruński";1733,44;1750,13;1848,94;1864,47;1935,61;2100,86;2334,20;2399,99;2520,88;2641,14;2738,84;2911,23;3036,13;3107,90;3298,27;3483,08;;
0416000;"Powiat tucholski";1675,59;1693,92;1773,60;1855,47;1916,60;2051,01;2267,68;2446,84;2588,59;2694,54;2831,86;2882,14;2983,14;3067,37;3154,01;3353,75;;
0417000;"Powiat wąbrzeski";1851,50;1809,06;1921,86;1980,24;2073,34;2193,29;2385,45;2582,75;2660,78;2859,74;3010,76;3132,56;3204,19;3336,63;3478,59;3741,15;;
0418000;"Powiat włocławski";1655,51;1616,40;1628,04;1717,01;1898,26;2010,89;2231,78;2379,63;2500,93;2644,28;2742,36;2883,38;3058,58;3137,40;3269,66;3503,37;;
0419000;"Powiat żniński";1665,11;1703,08;1751,39;1779,84;1906,51;2062,85;2252,18;2413,71;2507,49;2645,24;2741,57;2877,89;2927,35;3042,27;3140,27;3363,90;;
0461000;"Powiat m.Bydgoszcz";2126,46;2162,47;2259,10;2343,98;2482,78;2690,84;2973,85;3074,32;3184,45;3363,68;3468,51;3589,06;3677,79;3850,09;3950,95;4185,10;;
0462000;"Powiat m.Grudziądz";1811,37;1842,79;1896,20;1889,84;2014,26;2210,11;2453,87;2553,10;2641,57;2754,99;2885,61;3021,42;3196,00;3212,29;3323,90;3513,56;;
0463000;"Powiat m.Toruń";2070,67;2151,47;2267,80;2384,02;2560,95;2753,44;3038,58;3175,43;3220,95;3414,28;3545,32;3719,69;3876,00;3991,61;4170,83;4384,59;;
0464000;"Powiat m.Włocławek";2029,35;2090,24;2226,23;2279,95;2383,02;2531,51;2745,60;2931,23;3018,94;3132,44;3240,04;3419,98;3530,87;3631,31;3770,16;3941,33;;
0601000;"Powiat bialski";1613,51;1666,91;1760,50;1822,43;1900,54;2042,47;2276,07;2439,05;2611,73;2732,50;2862,82;2949,52;3045,06;3127,01;3184,04;3409,49;;
0602000;"Powiat biłgorajski";1772,75;1823,67;1916,89;1959,22;2108,96;2274,16;2480,05;2602,42;2663,43;2829,98;3009,52;3088,20;3200,89;3343,68;3530,69;3699,34;;
0603000;"Powiat chełmski";1771,12;1862,96;1910,40;2017,81;2004,43;2182,50;2373,49;2519,99;2632,14;2850,62;2940,49;3021,08;3150,13;3251,54;3333,95;3410,65;;
