"Kod";"Nazwa";"rynek pierwotny;ogółem;2015;[zł]";"rynek pierwotny;ogółem;2016;[zł]";"rynek pierwotny;ogółem;2017;[zł]";"rynek pierwotny;ogółem;2018;[zł]";
1015000;"Powiat skierniewicki";0;0;0;;
1016000;"Powiat tomaszowski";3576;4036;4202;;
1017000;"Powiat wieluński";0;0;0;;
1018000;"Powiat wieruszowski";2704;2751;2791;;
1019000;"Powiat zduńskowolski";0;0;0;;
1020000;"Powiat zgierski";3753;3406;3928;;
1021000;"Powiat brzeziński";3450;2700;0;;
1061000;"Powiat m.Łódź";4675;4705;4798;;
1062000;"Powiat m.Piotrków Trybunalski";3998;4182;3773;;
1063000;"Powiat m.Skierniewice";3970;3966;4248;;
1201000;"Powiat bocheński";4274;4200;4587;;
1202000;"Powiat brzeski";4196;4083;4148;;
1203000;"Powiat chrzanowski";3200;2596;2579;;
1204000;"Powiat dąbrowski";0;0;0;;
1205000;"Powiat gorlicki";0;2357;0;;
1206000;"Powiat krakowski";4855;4700;4509;;
1207000;"Powiat limanowski";4635;4338;0;;
1208000;"Powiat miechowski";4197;3984;0;;
1209000;"Powiat myślenicki";0;4596;4781;;
1210000;"Powiat nowosądecki";3585;7102;6531;;
1211000;"Powiat nowotarski";5089;5026;5075;;
1212000;"Powiat olkuski";3620;0;0;;
1213000;"Powiat oświęcimski";3497;3808;3926;;
1214000;"Powiat proszowicki";0;0;4053;;
1215000;"Powiat suski";0;0;0;;
1216000;"Powiat tarnowski";0;0;0;;
1217000;"Powiat tatrzański";10697;9517;9638;;
1218000;"Powiat wadowicki";3874;4195;3994;;
1219000;"Powiat wielicki";4317;4285;4668;;
1261000;"Powiat m.Kraków";6260;6299;6293;;
1262000;"Powiat m.Nowy Sącz";2807;3836;0;;
1263000;"Powiat m.Tarnów";3817;3802;3678;;
1401000;"Powiat białobrzeski";0;0;3007;;
1402000;"Powiat ciechanowski";4058;3653;3156;;
1403000;"Powiat garwoliński";0;4089;0;;
1404000;"Powiat gostyniński";2913;2901;3044;;
1405000;"Powiat grodziski";4021;3744;4375;;
1406000;"Powiat grójecki";0;3480;3347;;
1407000;"Powiat kozienicki";3499;3367;0;;
1408000;"Powiat legionowski";4052;4398;4347;;
1409000;"Powiat lipski";0;0;0;;
1410000;"Powiat łosicki";0;0;0;;
1411000;"Powiat makowski";0;0;0;;
1412000;"Powiat miński";4027;3915;4495;;
1413000;"Powiat mławski";2946;2977;3128;;
1414000;"Powiat nowodworski";4200;4260;4341;;
1415000;"Powiat ostrołęcki";0;0;0;;
1416000;"Powiat ostrowski";4264;4048;0;;
1417000;"Powiat otwocki";4720;4916;5060;;
1418000;"Powiat piaseczyński";5054;4489;4413;;
1419000;"Powiat płocki";3099;2985;3211;;
1420000;"Powiat płoński";3305;3461;3980;;
1421000;"Powiat pruszkowski";5441;5184;5825;;
1422000;"Powiat przasnyski";3333;3646;3707;;
1423000;"Powiat przysuski";0;0;0;;
1424000;"Powiat pułtuski";3313;3282;3313;;
1425000;"Powiat radomski";0;0;3442;;
1426000;"Powiat siedlecki";0;0;0;;
1427000;"Powiat sierpecki";0;0;3548;;
1428000;"Powiat sochaczewski";0;4545;0;;
1429000;"Powiat sokołowski";2264;2870;3484;;
1430000;"Powiat szydłowiecki";0;0;2034;;
1432000;"Powiat warszawski zachodni";4586;4414;4738;;
1433000;"Powiat węgrowski";3000;0;3005;;
1434000;"Powiat wołomiński";4398;4382;4368;;
1435000;"Powiat wyszkowski";0;4781;4330;;
1436000;"Powiat zwoleński";0;0;0;;
1437000;"Powiat żuromiński";3131;3120;3098;;
1438000;"Powiat żyrardowski";4379;4619;4641;;
1461000;"Powiat m.Ostrołęka";3891;3904;3804;;
1462000;"Powiat m.Płock";3928;4038;4148;;
1463000;"Powiat m.Radom";3575;3788;3914;;
1464000;"Powiat m.Siedlce";3785;3987;4234;;
1465000;"Powiat m. st. Warszawa";7267;7328;7684;;
1601000;"Powiat brzeski";3408;3378;3525;;
1602000;"Powiat głubczycki";0;0;0;;
1603000;"Powiat kędzierzyńsko-kozielski";2480;2581;3681;;
1604000;"Powiat kluczborski";3204;3253;3255;;
1605000;"Powiat krapkowicki";3514;3744;3717;;
1606000;"Powiat namysłowski";3227;0;0;;
1607000;"Powiat nyski";2551;2758;2947;;
1608000;"Powiat oleski";0;0;0;;
1609000;"Powiat opolski";0;3558;4373;;
1610000;"Powiat prudnicki";0;0;0;;
1611000;"Powiat strzelecki";0;0;0;;
1661000;"Powiat m.Opole";4311;4397;4544;;
1801000;"Powiat bieszczadzki";2601;0;2997;;
1802000;"Powiat brzozowski";2500;0;0;;
1803000;"Powiat dębicki";3368;3773;3927;;
1804000;"Powiat jarosławski";0;3549;3350;;
1805000;"Powiat jasielski";3449;3449;0;;
1806000;"Powiat kolbuszowski";0;0;4008;;
1807000;"Powiat krośnieński";0;0;3285;;
1808000;"Powiat leżajski";0;0;0;;
1809000;"Powiat lubaczowski";0;0;0;;
1810000;"Powiat łańcucki";2920;0;3673;;
1811000;"Powiat mielecki";3905;3972;4220;;
1812000;"Powiat niżański";0;0;0;;
1813000;"Powiat przemyski";2439;2200;0;;
1814000;"Powiat przeworski";0;0;0;;
1815000;"Powiat ropczycko-sędziszowski";3311;3621;3642;;
1816000;"Powiat rzeszowski";3977;3709;4441;;
1817000;"Powiat sanocki";0;0;3898;;
1818000;"Powiat stalowowolski";2604;4020;4505;;
