"Kod";"Nazwa";"sektor publiczny - spółki handlowe;2008;[-]";"sektor publiczny - spółki handlowe;2009;[-]";"sektor publiczny - spółki handlowe;2010;[-]";"sektor publiczny - spółki handlowe;2011;[-]";"sektor publiczny - spółki handlowe;2012;[-]";"sektor publiczny - spółki handlowe;2013;[-]";"sektor publiczny - spółki handlowe;2014;[-]";"sektor publiczny - spółki handlowe;2015;[-]";"sektor publiczny - spółki handlowe;2016;[-]";"sektor publiczny - spółki handlowe;2017;[-]";"sektor publiczny - spółki handlowe;2018;[-]";
0805000;"Powiat słubicki";0;1;1;0;1;1;0;0;0;0;0;
0806000;"Powiat strzelecko-drezdenecki";0;1;1;0;0;0;0;0;0;0;0;
0807000;"Powiat sulęciński";0;0;1;0;0;0;0;0;1;1;0;
0808000;"Powiat świebodziński";0;0;2;0;0;0;0;0;0;0;0;
0809000;"Powiat zielonogórski";0;2;0;1;1;1;1;0;0;0;0;
0810000;"Powiat żagański";1;0;1;0;0;1;0;0;0;0;0;
0811000;"Powiat żarski";1;1;0;0;0;0;0;0;0;0;0;
0812000;"Powiat wschowski";0;0;1;0;1;0;0;0;0;0;0;
0861000;"Powiat m.Gorzów Wielkopolski";0;0;0;0;1;1;0;0;0;0;0;
0862000;"Powiat m.Zielona Góra";0;0;2;0;1;0;0;0;0;0;0;
1001000;"Powiat bełchatowski";0;2;0;0;0;1;0;0;2;0;0;
1002000;"Powiat kutnowski";0;1;1;1;0;0;0;0;0;0;0;
1004000;"Powiat łęczycki";0;0;0;0;0;1;0;1;0;0;0;
1005000;"Powiat łowicki";0;0;0;0;0;0;0;0;0;0;1;
1006000;"Powiat łódzki wschodni";0;0;0;0;0;0;2;0;0;0;0;
1008000;"Powiat pabianicki";0;1;0;0;0;0;0;0;0;0;0;
1011000;"Powiat poddębicki";0;0;0;1;0;0;0;0;0;0;0;
1012000;"Powiat radomszczański";0;0;1;0;0;0;0;1;0;0;0;
1013000;"Powiat rawski";1;0;0;0;0;0;0;0;0;0;0;
1014000;"Powiat sieradzki";0;0;0;0;0;1;1;1;0;0;0;
1015000;"Powiat skierniewicki";0;0;0;0;0;1;0;0;0;0;0;
1016000;"Powiat tomaszowski";1;0;0;0;0;1;0;1;0;1;0;
1017000;"Powiat wieluński";0;0;0;0;1;0;0;0;0;0;0;
1018000;"Powiat wieruszowski";1;0;0;0;0;0;0;0;0;0;0;
1020000;"Powiat zgierski";0;0;2;0;1;1;0;0;0;0;0;
1021000;"Powiat brzeziński";1;0;0;0;0;0;0;0;0;0;0;
1061000;"Powiat m.Łódź";0;3;5;2;1;0;2;0;1;0;0;
1062000;"Powiat m.Piotrków Trybunalski";0;1;0;0;0;0;0;0;0;0;0;
1063000;"Powiat m.Skierniewice";0;0;0;0;0;0;0;1;0;0;0;
1201000;"Powiat bocheński";0;0;0;0;0;1;0;0;1;0;1;
1202000;"Powiat brzeski";0;0;1;0;1;0;0;0;0;0;0;
1203000;"Powiat chrzanowski";0;0;0;0;1;0;0;0;0;0;0;
1204000;"Powiat dąbrowski";0;0;0;0;0;1;0;0;0;0;0;
1205000;"Powiat gorlicki";0;0;0;0;1;0;0;1;0;0;0;
1206000;"Powiat krakowski";2;0;0;0;1;0;0;0;0;0;0;
1207000;"Powiat limanowski";0;0;0;1;1;0;0;0;0;0;0;
1208000;"Powiat miechowski";0;0;0;0;0;0;1;0;0;0;1;
1209000;"Powiat myślenicki";1;1;0;1;0;1;0;0;0;0;0;
1210000;"Powiat nowosądecki";1;0;1;0;0;0;1;0;0;0;0;
1211000;"Powiat nowotarski";0;0;1;0;0;0;0;0;0;1;0;
1212000;"Powiat olkuski";0;0;1;0;0;0;0;0;1;0;0;
1213000;"Powiat oświęcimski";2;0;1;0;0;0;0;1;0;0;0;
1214000;"Powiat proszowicki";0;0;0;0;0;0;0;1;0;0;0;
1215000;"Powiat suski";0;0;0;0;0;0;1;0;0;0;0;
1216000;"Powiat tarnowski";0;1;1;0;0;1;0;0;0;0;0;
