"Kod";"Nazwa";"sektor prywatny - ogółem;2008;[-]";"sektor prywatny - ogółem;2009;[-]";"sektor prywatny - ogółem;2010;[-]";"sektor prywatny - ogółem;2011;[-]";"sektor prywatny - ogółem;2012;[-]";"sektor prywatny - ogółem;2013;[-]";"sektor prywatny - ogółem;2014;[-]";"sektor prywatny - ogółem;2015;[-]";"sektor prywatny - ogółem;2016;[-]";"sektor prywatny - ogółem;2017;[-]";"sektor prywatny - ogółem;2018;[-]";
0807000;"Powiat sulęciński";248;392;360;327;298;279;282;256;250;266;320;
0808000;"Powiat świebodziński";452;466;628;474;487;501;427;412;344;391;388;
0809000;"Powiat zielonogórski";829;878;1001;989;919;941;888;640;636;656;721;
0810000;"Powiat żagański";633;628;706;647;722;632;592;552;524;552;642;
0811000;"Powiat żarski";813;843;1021;868;895;863;753;726;726;782;879;
0812000;"Powiat wschowski";284;335;382;310;326;335;331;303;289;362;381;
0861000;"Powiat m.Gorzów Wielkopolski";1353;1705;1739;1458;1355;1384;1308;1264;1177;1241;1277;
0862000;"Powiat m.Zielona Góra";1351;1515;1676;1479;2060;1567;1534;1514;1381;1415;1550;
1001000;"Powiat bełchatowski";655;736;919;797;845;788;802;738;704;693;776;
1002000;"Powiat kutnowski";630;753;803;689;624;616;674;631;573;582;579;
1003000;"Powiat łaski";359;352;451;353;343;379;370;345;350;374;429;
1004000;"Powiat łęczycki";247;272;312;266;297;284;260;251;235;255;290;
1005000;"Powiat łowicki";477;439;570;504;541;503;507;409;462;435;478;
1006000;"Powiat łódzki wschodni";544;731;823;766;672;671;649;642;598;637;698;
1007000;"Powiat opoczyński";481;482;541;428;422;463;432;426;338;414;434;
1008000;"Powiat pabianicki";940;1198;1314;1075;1156;1194;1090;1082;1110;1067;1108;
1009000;"Powiat pajęczański";320;325;373;360;320;301;370;335;304;291;351;
1010000;"Powiat piotrkowski";517;543;658;535;511;532;612;527;538;554;733;
1011000;"Powiat poddębicki";272;293;355;251;287;304;272;279;272;247;287;
1012000;"Powiat radomszczański";849;995;1086;823;920;901;795;824;797;738;907;
1013000;"Powiat rawski";307;308;409;288;340;320;293;287;249;303;330;
1014000;"Powiat sieradzki";768;894;961;874;739;858;898;789;877;884;922;
1015000;"Powiat skierniewicki";180;204;222;162;208;158;198;191;183;190;285;
1016000;"Powiat tomaszowski";915;977;1088;930;906;902;860;745;737;784;881;
1017000;"Powiat wieluński";506;586;700;561;531;564;521;459;577;510;562;
1018000;"Powiat wieruszowski";285;326;332;305;296;299;303;310;318;280;326;
1019000;"Powiat zduńskowolski";572;668;725;578;542;549;567;577;606;551;637;
1020000;"Powiat zgierski";1314;1605;1613;1474;1395;1421;1476;1383;1399;1432;1389;
1021000;"Powiat brzeziński";239;283;306;224;234;261;244;217;249;234;310;
1061000;"Powiat m.Łódź";6902;7969;9025;7678;8369;8133;8087;7420;7236;7202;7106;
1062000;"Powiat m.Piotrków Trybunalski";708;799;934;662;663;723;615;603;562;595;578;
1063000;"Powiat m.Skierniewice";381;447;529;380;438;415;413;338;376;367;333;
1201000;"Powiat bocheński";658;745;908;826;759;766;798;717;704;780;857;
1202000;"Powiat brzeski";573;549;675;582;633;621;649;610;624;700;869;
1203000;"Powiat chrzanowski";790;998;1183;904;901;945;954;792;806;946;969;
1204000;"Powiat dąbrowski";251;321;381;312;299;297;326;294;293;369;461;
1205000;"Powiat gorlicki";798;827;955;902;811;799;771;792;751;704;823;
1206000;"Powiat krakowski";1973;2375;2751;2490;2385;2346;2573;2229;2199;2391;2640;
1207000;"Powiat limanowski";1008;1155;1315;898;987;938;1175;1167;1069;1117;1345;
1208000;"Powiat miechowski";326;298;337;326;294;348;395;319;327;292;364;
1209000;"Powiat myślenicki";842;1000;1316;939;1014;1075;1068;955;949;1111;1208;
1210000;"Powiat nowosądecki";1559;1717;1763;1688;1709;1732;1909;1826;1789;1818;2232;
1211000;"Powiat nowotarski";1366;1535;1763;1445;1571;1597;1701;1611;1531;1771;2104;
1212000;"Powiat olkuski";751;965;1151;844;838;784;910;800;728;756;896;
1213000;"Powiat oświęcimski";911;1011;1502;1166;1139;1070;1131;967;926;987;1104;
1214000;"Powiat proszowicki";194;248;311;247;270;325;306;294;297;306;398;
1215000;"Powiat suski";523;641;665;589;611;563;629;645;624;653;752;
1216000;"Powiat tarnowski";1013;1136;1405;1167;1245;1242;1258;1221;1194;1290;1473;
1217000;"Powiat tatrzański";779;866;1008;779;804;716;772;839;804;865;956;
1218000;"Powiat wadowicki";1056;1282;1410;1175;1142;1222;1222;1160;1095;1146;1336;
1219000;"Powiat wielicki";956;1082;1232;1167;1220;1179;1211;1178;1112;1209;1280;
1261000;"Powiat m.Kraków";8695;10148;11733;9966;11125;10743;10189;8569;8461;8861;9392;
1262000;"Powiat m.Nowy Sącz";942;1142;1092;945;970;800;910;765;742;733;828;
1263000;"Powiat m.Tarnów";943;1237;1235;959;1074;1005;914;997;764;811;897;
1401000;"Powiat białobrzeski";217;230;259;202;227;233;240;220;178;183;246;
1402000;"Powiat ciechanowski";592;736;797;584;693;724;748;707;626;630;680;
1403000;"Powiat garwoliński";690;692;828;671;688;710;657;655;599;620;780;
1404000;"Powiat gostyniński";380;377;408;381;351;367;350;419;307;346;369;
1405000;"Powiat grodziski";779;727;1158;948;930;1074;1021;923;895;884;1064;
1406000;"Powiat grójecki";527;648;750;654;669;680;685;588;526;639;699;
1407000;"Powiat kozienicki";286;330;350;313;336;315;340;270;239;317;364;
1408000;"Powiat legionowski";1089;1071;1531;1339;1337;1308;1317;1268;1189;1184;1262;
1409000;"Powiat lipski";184;171;198;220;190;172;182;157;142;171;205;
1410000;"Powiat łosicki";209;252;267;213;192;226;211;186;168;174;233;
1411000;"Powiat makowski";300;318;381;311;271;319;328;340;294;281;330;
1412000;"Powiat miński";1075;1147;1354;1212;1243;1271;1302;1138;1089;1169;1377;
1413000;"Powiat mławski";578;500;594;456;485;518;497;484;404;446;516;
1414000;"Powiat nowodworski";543;527;825;683;686;634;627;606;573;622;693;
1415000;"Powiat ostrołęcki";465;430;581;551;575;643;678;555;534;598;620;
1416000;"Powiat ostrowski";486;484;578;388;488;481;541;487;451;495;486;
1417000;"Powiat otwocki";1096;993;1526;1264;1220;1262;1302;1096;1033;1008;1160;
1418000;"Powiat piaseczyński";1940;2144;2814;2423;2648;2706;2679;2233;2029;2323;2447;
1419000;"Powiat płocki";624;771;839;645;698;805;790;778;678;746;892;
1420000;"Powiat płoński";636;669;798;570;615;629;604;568;517;511;644;
1421000;"Powiat pruszkowski";1563;1520;2262;1913;1883;2039;2005;1772;1668;1768;1995;
1422000;"Powiat przasnyski";271;337;437;370;319;373;328;287;298;290;348;
1423000;"Powiat przysuski";235;265;319;279;268;270;299;282;250;249;285;
1424000;"Powiat pułtuski";384;353;521;315;370;397;433;331;306;367;419;
1425000;"Powiat radomski";965;1081;1238;1097;1111;1140;1119;1201;1164;1149;1362;
1426000;"Powiat siedlecki";436;449;562;451;426;498;462;399;451;421;580;
1427000;"Powiat sierpecki";336;394;377;322;334;357;368;318;326;285;366;
1428000;"Powiat sochaczewski";539;560;697;625;589;599;584;603;538;578;644;
1429000;"Powiat sokołowski";276;295;423;338;313;356;301;274;259;269;305;
1430000;"Powiat szydłowiecki";321;310;392;299;357;441;362;386;378;359;480;
1432000;"Powiat warszawski zachodni";1054;1077;1566;1334;1388;1342;1356;1183;1133;1166;1346;
1433000;"Powiat węgrowski";421;464;587;437;425;475;457;408;359;378;461;
1434000;"Powiat wołomiński";1969;2034;2977;2439;2508;2659;2519;2348;2209;2455;2754;
1435000;"Powiat wyszkowski";549;524;683;567;587;593;602;506;420;464;589;
1436000;"Powiat zwoleński";183;164;211;203;207;213;214;178;194;235;220;
1437000;"Powiat żuromiński";296;326;423;293;295;296;261;258;233;210;262;
1438000;"Powiat żyrardowski";573;563;780;577;591;623;678;601;557;555;640;
1461000;"Powiat m.Ostrołęka";468;469;571;515;494;567;503;479;420;390;455;
1462000;"Powiat m.Płock";1172;1325;1317;1037;1268;1194;1099;986;908;919;921;
1463000;"Powiat m.Radom";2204;2411;2548;2302;2261;2332;2230;2052;1754;1783;1914;
1464000;"Powiat m.Siedlce";757;785;863;731;761;826;713;595;576;615;737;
1465000;"Powiat m. st. Warszawa";22133;22858;29595;26693;29151;32565;31452;23019;22650;23445;25939;
1601000;"Powiat brzeski";758;834;897;698;689;818;752;665;596;637;674;
