"Kod";"Nazwa";"sektor prywatny - ogółem;2008;[-]";"sektor prywatny - ogółem;2009;[-]";"sektor prywatny - ogółem;2010;[-]";"sektor prywatny - ogółem;2011;[-]";"sektor prywatny - ogółem;2012;[-]";"sektor prywatny - ogółem;2013;[-]";"sektor prywatny - ogółem;2014;[-]";"sektor prywatny - ogółem;2015;[-]";"sektor prywatny - ogółem;2016;[-]";"sektor prywatny - ogółem;2017;[-]";"sektor prywatny - ogółem;2018;[-]";
2401000;"Powiat będziński";1186;1326;1788;1187;1389;1311;1262;1089;985;1034;1147;
2402000;"Powiat bielski";1178;1431;1688;1295;1355;1392;1420;1163;1144;1252;1345;
2403000;"Powiat cieszyński";1380;1620;1834;1525;1632;1433;1540;1386;1218;1141;1381;
2404000;"Powiat częstochowski";995;1102;1334;942;1029;1043;1050;908;996;907;1102;
2405000;"Powiat gliwicki";571;690;924;709;709;662;724;627;546;550;678;
2406000;"Powiat kłobucki";548;670;727;742;685;638;693;663;616;617;787;
2407000;"Powiat lubliniecki";485;508;670;490;567;537;575;497;455;528;552;
2408000;"Powiat mikołowski";581;803;911;758;726;692;683;608;651;676;770;
2409000;"Powiat myszkowski";547;619;740;577;652;616;623;500;476;483;564;
2410000;"Powiat pszczyński";624;851;1064;808;783;817;804;705;677;687;718;
2411000;"Powiat raciborski";507;696;772;609;636;587;613;477;434;451;538;
2412000;"Powiat rybnicki";398;477;539;439;425;430;454;412;409;420;436;
2413000;"Powiat tarnogórski";895;1202;1412;1076;1030;1121;1124;1009;887;953;1014;
2414000;"Powiat bieruńsko-lędziński";318;370;464;402;343;402;463;361;349;340;395;
2415000;"Powiat wodzisławski";796;955;1191;1007;954;889;990;871;787;779;810;
2416000;"Powiat zawierciański";755;903;1068;877;955;827;860;763;723;668;781;
2417000;"Powiat żywiecki";981;1175;1369;1099;1176;1155;1215;1099;1036;1083;1299;
2461000;"Powiat m.Bielsko-Biała";1911;2358;2333;1966;2144;2015;1903;1641;1510;1523;1578;
2462000;"Powiat m.Bytom";1093;1205;1339;1143;1064;1174;1131;1001;923;834;1014;
2463000;"Powiat m.Chorzów";792;1019;1062;890;1003;862;918;796;724;709;809;
2464000;"Powiat m.Częstochowa";2587;2750;2901;2423;2443;2404;2330;1968;1803;1821;1796;
2465000;"Powiat m.Dąbrowa Górnicza";1011;1299;1530;1036;1213;1170;1109;926;808;866;890;
2466000;"Powiat m.Gliwice";1486;1887;2102;1742;1797;1642;1625;1413;1382;1377;1468;
2467000;"Powiat m.Jastrzębie-Zdrój";552;651;677;566;545;506;556;488;457;447;509;
2468000;"Powiat m.Jaworzno";581;659;831;683;748;681;682;636;558;596;638;
2469000;"Powiat m.Katowice";2669;3317;3921;3220;3650;3541;3342;2683;2404;2459;2605;
2470000;"Powiat m.Mysłowice";419;576;791;598;573;574;586;491;454;453;558;
2471000;"Powiat m.Piekary Śląskie";311;376;530;400;420;425;402;286;298;302;352;
2472000;"Powiat m.Ruda Śląska";773;934;1149;928;917;815;808;799;688;747;788;
2473000;"Powiat m.Rybnik";885;1119;1314;1014;968;1012;1021;931;856;879;928;
2474000;"Powiat m.Siemianowice Śląskie";458;654;726;506;501;496;502;452;391;401;471;
2475000;"Powiat m.Sosnowiec";1624;1851;2395;1802;1826;1919;1630;1618;1374;1435;1514;
2476000;"Powiat m.Świętochłowice";304;356;447;361;334;305;307;272;257;289;281;
2477000;"Powiat m.Tychy";939;1200;1288;1124;1113;1228;1078;940;830;877;980;
2478000;"Powiat m.Zabrze";1087;1191;1440;1192;1223;1126;1149;1052;1035;1127;1081;
2479000;"Powiat m.Żory";374;570;554;471;432;464;456;411;419;403;474;
2601000;"Powiat buski";326;434;424;380;335;349;392;361;420;476;511;
2602000;"Powiat jędrzejowski";487;493;527;521;473;564;460;435;450;533;651;
2603000;"Powiat kazimierski";141;161;190;157;181;152;117;124;108;151;180;
2604000;"Powiat kielecki";1287;1443;1641;1438;1763;1628;1720;1509;1706;1863;2040;
2605000;"Powiat konecki";559;630;650;540;613;545;568;546;560;574;670;
2606000;"Powiat opatowski";222;253;349;205;268;248;235;233;231;296;437;
2607000;"Powiat ostrowiecki";816;911;1108;814;815;835;748;669;679;663;874;
2608000;"Powiat pińczowski";160;225;201;213;190;212;196;196;197;217;235;
2609000;"Powiat sandomierski";339;380;450;385;432;360;351;375;373;423;463;
2610000;"Powiat skarżyski";583;693;846;631;720;994;728;709;616;691;655;
2611000;"Powiat starachowicki";629;697;896;635;649;764;674;571;578;609;652;
2612000;"Powiat staszowski";383;407;494;411;366;350;373;318;374;386;437;
2613000;"Powiat włoszczowski";220;256;322;296;321;314;365;331;285;272;321;
2661000;"Powiat m.Kielce";1870;2017;2392;2174;2145;2193;1925;1917;1734;1733;1840;
2801000;"Powiat bartoszycki";323;506;496;339;412;417;397;285;318;313;373;
2802000;"Powiat braniewski";293;281;300;280;236;279;284;226;268;240;270;
2803000;"Powiat działdowski";468;452;532;369;403;450;448;373;351;375;438;
2804000;"Powiat elbląski";371;434;405;423;374;406;392;382;395;381;461;
2805000;"Powiat ełcki";672;639;777;599;668;640;646;544;554;601;676;
2806000;"Powiat giżycki";435;456;506;524;440;463;488;430;384;405;495;
2807000;"Powiat iławski";739;887;928;543;773;752;675;611;583;548;694;
2808000;"Powiat kętrzyński";428;475;489;448;385;366;381;324;326;334;337;
2809000;"Powiat lidzbarski";266;317;360;262;271;278;302;259;237;278;315;
2810000;"Powiat mrągowski";485;541;565;418;462;477;444;379;398;451;521;
2811000;"Powiat nidzicki";243;221;298;212;224;211;221;181;203;194;219;
2812000;"Powiat nowomiejski";316;375;408;243;333;357;351;299;250;293;349;
2813000;"Powiat olecki";271;282;334;246;323;267;268;226;194;236;296;
2814000;"Powiat olsztyński";887;1006;1171;1030;1048;1034;1017;924;858;972;1127;
2815000;"Powiat ostródzki";881;915;957;738;777;787;773;681;637;661;734;
2816000;"Powiat piski";420;419;500;428;458;416;432;362;328;345;439;
2817000;"Powiat szczycieński";477;502;499;521;491;483;538;441;448;446;536;
2818000;"Powiat gołdapski";207;208;232;170;185;188;196;135;127;154;216;
2819000;"Powiat węgorzewski";161;156;209;157;131;158;179;112;115;119;155;
2861000;"Powiat m.Elbląg";1224;1474;1370;1186;1107;1164;1082;1046;947;999;1128;
