"Kod";"Nazwa";"rok;wpisane;spółki handlowe;2008;[-]";"rok;wpisane;spółki handlowe;2009;[-]";"rok;wpisane;spółki handlowe;2010;[-]";"rok;wpisane;spółki handlowe;2011;[-]";"rok;wpisane;spółki handlowe;2012;[-]";"rok;wpisane;spółki handlowe;2013;[-]";"rok;wpisane;spółki handlowe;2014;[-]";"rok;wpisane;spółki handlowe;2015;[-]";"rok;wpisane;spółki handlowe;2016;[-]";"rok;wpisane;spółki handlowe;2017;[-]";"rok;wpisane;spółki handlowe;2018;[-]";
2402000;"Powiat bielski";610;631;661;708;784;849;935;972;1069;1127;1047;
2403000;"Powiat cieszyński";1005;1042;1136;1198;1269;1368;1451;1477;1585;1602;1355;
2404000;"Powiat częstochowski";292;307;331;356;380;429;446;456;529;574;532;
2405000;"Powiat gliwicki";341;376;404;433;485;544;590;672;839;958;932;
2406000;"Powiat kłobucki";201;217;228;234;244;260;282;288;315;340;326;
2407000;"Powiat lubliniecki";205;218;242;268;288;324;372;376;401;438;415;
2408000;"Powiat mikołowski";556;580;652;700;750;814;882;930;984;1041;993;
2409000;"Powiat myszkowski";233;243;257;277;295;322;348;369;404;435;393;
2410000;"Powiat pszczyński";480;507;555;593;661;735;794;826;887;959;925;
2411000;"Powiat raciborski";500;523;556;570;599;649;680;683;706;735;616;
2412000;"Powiat rybnicki";138;151;159;163;182;192;208;218;233;234;220;
2413000;"Powiat tarnogórski";780;840;911;963;1050;1141;1224;1284;1349;1390;1236;
2414000;"Powiat bieruńsko-lędziński";157;170;192;208;225;257;292;301;317;347;361;
2415000;"Powiat wodzisławski";420;449;475;492;548;605;664;689;737;778;717;
2416000;"Powiat zawierciański";331;332;348;370;393;432;458;460;491;523;468;
2417000;"Powiat żywiecki";392;417;441;470;504;550;612;635;692;717;653;
2461000;"Powiat m.Bielsko-Biała";2180;2314;2445;2587;2802;3060;3258;3401;3725;3851;3402;
2462000;"Powiat m.Bytom";830;884;940;999;1058;1151;1238;1290;1387;1447;1254;
2463000;"Powiat m.Chorzów";807;836;905;940;1065;1133;1213;1283;1397;1496;1367;
2464000;"Powiat m.Częstochowa";1996;2092;2184;2316;2489;2662;2844;2951;3264;3463;3001;
