"Kod";"Nazwa";"sektor prywatny - spółki handlowe;2008;[-]";"sektor prywatny - spółki handlowe;2009;[-]";"sektor prywatny - spółki handlowe;2010;[-]";"sektor prywatny - spółki handlowe;2011;[-]";"sektor prywatny - spółki handlowe;2012;[-]";"sektor prywatny - spółki handlowe;2013;[-]";"sektor prywatny - spółki handlowe;2014;[-]";"sektor prywatny - spółki handlowe;2015;[-]";"sektor prywatny - spółki handlowe;2016;[-]";"sektor prywatny - spółki handlowe;2017;[-]";"sektor prywatny - spółki handlowe;2018;[-]";
2610000;"Powiat skarżyski";6;4;12;16;9;15;19;3;3;1;0;
2611000;"Powiat starachowicki";5;6;13;8;8;13;13;3;1;0;1;
2612000;"Powiat staszowski";2;4;4;5;7;10;13;3;0;1;2;
2613000;"Powiat włoszczowski";5;0;4;10;14;9;7;0;1;0;0;
2661000;"Powiat m.Kielce";113;95;142;160;194;228;186;57;13;9;14;
2801000;"Powiat bartoszycki";9;8;9;4;10;7;3;2;3;1;1;
2802000;"Powiat braniewski";2;3;7;10;12;10;9;2;1;1;0;
2803000;"Powiat działdowski";6;6;2;11;14;12;5;3;1;2;0;
2804000;"Powiat elbląski";5;13;14;20;13;11;10;0;0;1;1;
2805000;"Powiat ełcki";9;12;5;15;12;17;20;2;0;1;0;
2806000;"Powiat giżycki";5;6;4;13;17;15;10;1;0;1;1;
2807000;"Powiat iławski";9;16;22;14;12;16;14;1;1;0;0;
2808000;"Powiat kętrzyński";3;5;5;13;11;17;5;1;1;0;1;
2809000;"Powiat lidzbarski";0;6;11;8;16;9;9;1;1;2;2;
2810000;"Powiat mrągowski";8;11;8;12;12;15;11;1;0;3;1;
2811000;"Powiat nidzicki";5;3;6;5;6;8;6;0;2;2;2;
2812000;"Powiat nowomiejski";3;5;6;8;17;11;6;2;1;0;0;
2813000;"Powiat olecki";3;5;14;8;11;7;3;2;1;0;0;
2814000;"Powiat olsztyński";19;27;41;49;45;74;35;6;3;3;2;
2815000;"Powiat ostródzki";18;26;27;22;22;40;32;2;1;0;1;
2816000;"Powiat piski";3;4;4;1;8;4;3;0;0;0;0;
2817000;"Powiat szczycieński";10;7;9;8;9;7;11;0;4;1;1;
2818000;"Powiat gołdapski";2;0;2;5;4;5;1;0;0;0;0;
2819000;"Powiat węgorzewski";1;1;6;4;1;11;7;1;0;0;0;
2861000;"Powiat m.Elbląg";29;39;31;40;38;42;40;5;5;3;2;
2862000;"Powiat m.Olsztyn";88;110;132;135;167;224;187;24;20;20;18;
3001000;"Powiat chodzieski";7;5;9;9;22;15;11;1;0;0;1;
3002000;"Powiat czarnkowsko-trzcianecki";14;13;12;35;24;40;28;2;3;3;1;
3003000;"Powiat gnieźnieński";37;13;36;38;61;56;50;6;4;9;4;
3004000;"Powiat gostyński";24;13;15;20;22;10;21;4;1;0;3;
3005000;"Powiat grodziski";9;8;20;14;23;23;26;3;3;1;0;
3006000;"Powiat jarociński";12;9;14;20;23;15;25;1;0;1;2;
3007000;"Powiat kaliski";10;29;25;21;29;27;21;4;4;4;6;
3008000;"Powiat kępiński";3;8;15;14;19;13;21;2;2;0;0;
3009000;"Powiat kolski";6;5;15;13;14;15;8;0;0;0;0;
