"Kod";"Nazwa";"sektor prywatny - spółki handlowe;2008;[-]";"sektor prywatny - spółki handlowe;2009;[-]";"sektor prywatny - spółki handlowe;2010;[-]";"sektor prywatny - spółki handlowe;2011;[-]";"sektor prywatny - spółki handlowe;2012;[-]";"sektor prywatny - spółki handlowe;2013;[-]";"sektor prywatny - spółki handlowe;2014;[-]";"sektor prywatny - spółki handlowe;2015;[-]";"sektor prywatny - spółki handlowe;2016;[-]";"sektor prywatny - spółki handlowe;2017;[-]";"sektor prywatny - spółki handlowe;2018;[-]";
1427000;"Powiat sierpecki";1;3;9;5;13;19;12;1;1;2;2;
1428000;"Powiat sochaczewski";9;12;18;22;28;25;26;2;1;2;3;
1429000;"Powiat sokołowski";3;7;15;14;6;12;7;0;0;1;0;
1430000;"Powiat szydłowiecki";4;1;7;5;6;12;7;0;0;0;0;
1432000;"Powiat warszawski zachodni";87;95;127;136;150;130;139;14;5;13;7;
1433000;"Powiat węgrowski";5;3;5;7;6;16;11;4;0;0;1;
1434000;"Powiat wołomiński";66;74;105;110;131;162;178;10;4;5;12;
1435000;"Powiat wyszkowski";7;8;10;17;18;23;12;0;0;0;1;
1436000;"Powiat zwoleński";1;1;7;0;0;5;3;0;0;0;0;
1437000;"Powiat żuromiński";2;3;0;4;10;12;1;1;0;0;0;
1438000;"Powiat żyrardowski";12;17;19;11;19;20;21;1;1;1;7;
1461000;"Powiat m.Ostrołęka";10;7;8;15;16;17;22;0;0;1;1;
1462000;"Powiat m.Płock";37;43;53;60;70;78;72;13;11;10;7;
1463000;"Powiat m.Radom";63;59;50;67;82;91;105;16;10;15;6;
1464000;"Powiat m.Siedlce";17;20;19;23;31;50;39;5;3;4;2;
1465000;"Powiat m. st. Warszawa";4073;4464;5799;6273;7899;10648;9394;635;594;481;514;
1601000;"Powiat brzeski";21;18;19;15;20;62;50;2;0;1;1;
1602000;"Powiat głubczycki";3;9;7;6;6;13;14;0;0;0;0;
1603000;"Powiat kędzierzyńsko-kozielski";26;21;26;33;45;28;34;0;2;2;3;
1604000;"Powiat kluczborski";10;9;9;17;13;19;14;1;0;1;2;
1605000;"Powiat krapkowicki";18;10;11;14;22;18;15;0;2;1;0;
1606000;"Powiat namysłowski";12;8;8;8;12;16;14;1;1;1;0;
1607000;"Powiat nyski";22;22;26;23;31;31;29;4;1;0;0;
1608000;"Powiat oleski";10;6;9;9;14;12;16;1;3;5;2;
1609000;"Powiat opolski";21;31;30;28;35;51;43;3;2;1;0;
1610000;"Powiat prudnicki";4;8;14;10;10;11;10;1;0;0;1;
1611000;"Powiat strzelecki";5;12;14;18;10;27;17;3;0;0;0;
1661000;"Powiat m.Opole";92;108;100;110;122;226;156;7;10;5;10;
1801000;"Powiat bieszczadzki";1;1;1;10;3;5;5;1;0;0;1;
1802000;"Powiat brzozowski";1;3;10;14;7;14;10;0;0;2;0;
1803000;"Powiat dębicki";23;27;37;19;36;27;38;5;1;1;1;
1804000;"Powiat jarosławski";9;18;22;24;36;26;37;9;3;4;0;
1805000;"Powiat jasielski";12;16;26;23;16;34;27;2;0;0;1;
1806000;"Powiat kolbuszowski";4;1;9;8;12;6;16;2;1;0;0;
1807000;"Powiat krośnieński";5;10;6;16;13;24;17;2;6;0;1;
1808000;"Powiat leżajski";4;6;4;13;7;10;27;1;0;0;0;
1809000;"Powiat lubaczowski";4;2;3;7;4;8;2;0;0;0;0;
1810000;"Powiat łańcucki";7;18;14;15;18;26;22;1;2;1;2;
1811000;"Powiat mielecki";41;25;31;33;52;57;44;5;1;1;0;
1812000;"Powiat niżański";8;8;8;6;7;9;7;2;1;2;0;
1813000;"Powiat przemyski";6;4;7;8;13;10;7;0;3;1;0;
1814000;"Powiat przeworski";8;8;8;12;9;15;14;3;0;2;0;
1815000;"Powiat ropczycko-sędziszowski";7;11;13;10;8;10;20;3;5;2;1;
1816000;"Powiat rzeszowski";29;31;38;54;49;78;72;6;0;4;6;
1817000;"Powiat sanocki";13;14;16;19;15;25;19;2;1;4;1;
1818000;"Powiat stalowowolski";20;22;22;26;25;23;32;3;3;2;2;
1819000;"Powiat strzyżowski";8;3;3;7;7;14;10;1;0;0;0;
1820000;"Powiat tarnobrzeski";3;9;5;10;3;7;13;0;2;1;0;
1821000;"Powiat leski";3;5;3;4;1;2;2;0;0;0;1;
1861000;"Powiat m.Krosno";15;20;25;19;32;35;36;3;2;4;0;
1862000;"Powiat m.Przemyśl";12;19;26;25;36;50;70;15;6;4;1;
1863000;"Powiat m.Rzeszów";127;153;184;220;296;378;417;37;32;18;19;
1864000;"Powiat m.Tarnobrzeg";9;11;11;16;7;20;16;2;2;1;4;
2001000;"Powiat augustowski";6;4;6;7;14;7;10;0;0;0;0;
2002000;"Powiat białostocki";33;44;26;30;49;56;43;1;3;2;3;
2003000;"Powiat bielski";3;3;3;12;12;12;7;4;1;1;1;
2004000;"Powiat grajewski";2;4;7;5;8;8;6;1;1;0;0;
2005000;"Powiat hajnowski";6;1;2;5;2;7;8;0;0;1;1;
2006000;"Powiat kolneński";0;2;1;2;6;4;2;0;0;0;0;
2007000;"Powiat łomżyński";0;3;4;10;3;7;4;0;0;1;1;
