"Kod";"Nazwa";"ogółem;2008;[zł]";"ogółem;2009;[zł]";"ogółem;2010;[zł]";"ogółem;2011;[zł]";"ogółem;2012;[zł]";"ogółem;2013;[zł]";"ogółem;2014;[zł]";"ogółem;2015;[zł]";"ogółem;2016;[zł]";"ogółem;2017;[zł]";"ogółem;2018;[zł]";
0413000;"Powiat sępoleński";2296,09;2537,61;2696,45;2820,74;2928,20;3077,03;3148,04;3232,37;3324,28;3529,86;;
0414000;"Powiat świecki";2711,04;2813,48;2901,68;3031,32;3171,00;3343,53;3482,66;3516,40;3630,37;3882,92;;
0415000;"Powiat toruński";2334,20;2399,99;2520,88;2641,14;2738,84;2911,23;3036,13;3107,90;3298,27;3483,08;;
0416000;"Powiat tucholski";2267,68;2446,84;2588,59;2694,54;2831,86;2882,14;2983,14;3067,37;3154,01;3353,75;;
0417000;"Powiat wąbrzeski";2385,45;2582,75;2660,78;2859,74;3010,76;3132,56;3204,19;3336,63;3478,59;3741,15;;
0418000;"Powiat włocławski";2231,78;2379,63;2500,93;2644,28;2742,36;2883,38;3058,58;3137,40;3269,66;3503,37;;
0419000;"Powiat żniński";2252,18;2413,71;2507,49;2645,24;2741,57;2877,89;2927,35;3042,27;3140,27;3363,90;;
0461000;"Powiat m.Bydgoszcz";2973,85;3074,32;3184,45;3363,68;3468,51;3589,06;3677,79;3850,09;3950,95;4185,10;;
0462000;"Powiat m.Grudziądz";2453,87;2553,10;2641,57;2754,99;2885,61;3021,42;3196,00;3212,29;3323,90;3513,56;;
0463000;"Powiat m.Toruń";3038,58;3175,43;3220,95;3414,28;3545,32;3719,69;3876,00;3991,61;4170,83;4384,59;;
0464000;"Powiat m.Włocławek";2745,60;2931,23;3018,94;3132,44;3240,04;3419,98;3530,87;3631,31;3770,16;3941,33;;
0600000;"LUBELSKIE";2771,99;2891,30;3099,60;3257,14;3382,66;3488,61;3605,03;3699,48;3815,95;4020,25;;
0601000;"Powiat bialski";2276,07;2439,05;2611,73;2732,50;2862,82;2949,52;3045,06;3127,01;3184,04;3409,49;;
0602000;"Powiat biłgorajski";2480,05;2602,42;2663,43;2829,98;3009,52;3088,20;3200,89;3343,68;3530,69;3699,34;;
0603000;"Powiat chełmski";2373,49;2519,99;2632,14;2850,62;2940,49;3021,08;3150,13;3251,54;3333,95;3410,65;;
0604000;"Powiat hrubieszowski";2397,30;2595,21;2748,08;2967,86;3109,48;3116,46;3194,54;3275,78;3425,56;3572,95;;
0605000;"Powiat janowski";2286,58;2357,98;2615,62;2826,82;2972,10;3100,51;3321,20;3436,38;3485,33;3657,09;;
0606000;"Powiat krasnostawski";2541,52;2607,10;2805,57;2983,35;3060,62;3128,85;3236,28;3315,19;3412,40;3619,20;;
0607000;"Powiat kraśnicki";2365,43;2388,93;2569,07;2721,15;2871,55;2953,64;3125,11;3197,23;3327,58;3459,00;;
0608000;"Powiat lubartowski";2463,30;2566,02;2746,86;2858,35;2888,47;2993,79;3089,12;3144,70;3237,98;3419,63;;
0609000;"Powiat lubelski";2441,73;2538,59;2657,52;2798,89;2946,90;3029,43;3141,58;3239,53;3308,85;3527,13;;
0610000;"Powiat łęczyński";4133,75;4417,20;4428,15;4758,24;4942,31;5138,84;5375,67;5112,84;5294,68;5512,40;;
0611000;"Powiat łukowski";2371,79;2451,27;2585,92;2707,26;2764,56;2883,30;2955,72;3065,51;3238,34;3403,31;;
0612000;"Powiat opolski";2444,77;2579,52;2721,60;2839,48;2991,25;3020,99;3129,37;3257,97;3344,45;3490,05;;
0613000;"Powiat parczewski";2413,25;2520,65;2678,25;2883,33;2994,80;3037,61;3169,06;3217,95;3352,33;3565,96;;
0614000;"Powiat puławski";3043,07;3178,30;3235,16;3542,20;3662,83;3785,23;3855,51;4022,67;4160,35;4440,23;;
0615000;"Powiat radzyński";2461,63;2596,92;2723,52;2853,46;2966,60;3169,19;3206,39;3243,52;3387,21;3598,62;;
0616000;"Powiat rycki";2409,35;2533,13;2746,58;2837,68;2912,71;3050,99;3101,76;3207,52;3339,39;3544,04;;
0617000;"Powiat świdnicki";2691,15;2791,36;2885,70;3124,46;3491,18;3620,47;3847,83;4050,02;4109,67;4312,35;;
0618000;"Powiat tomaszowski";2318,00;2433,30;2610,51;2739,50;2860,83;2931,59;3034,51;3144,81;3256,18;3405,09;;
0619000;"Powiat włodawski";2428,65;2572,52;2744,77;2898,66;3032,38;3073,43;3174,79;3267,12;3389,98;3519,39;;
0620000;"Powiat zamojski";2219,60;2350,53;2548,07;2726,29;2778,35;2870,16;3005,11;3021,19;3243,03;3242,06;;
0661000;"Powiat m.Biała Podlaska";2649,61;2853,38;3112,71;3305,79;3370,69;3461,96;3539,80;3643,59;3782,03;3763,62;;
0662000;"Powiat m.Chełm";2521,72;2683,17;2829,46;2942,39;3099,95;3184,22;3259,18;3371,93;3537,53;3689,33;;
0663000;"Powiat m.Lublin";3076,91;3178,15;3489,07;3606,97;3710,80;3820,91;3955,65;4060,17;4169,46;4431,61;;
0664000;"Powiat m.Zamość";2934,69;3073,42;2991,81;3163,05;3267,28;3410,42;3511,40;3684,12;3794,50;3954,10;;
0800000;"LUBUSKIE";2653,55;2802,77;2920,43;3073,95;3203,18;3282,07;3425,38;3567,60;3734,90;3950,95;;
0801000;"Powiat gorzowski";2803,77;2919,63;3069,29;3276,48;3408,69;3524,85;3597,06;3818,44;3882,12;4090,10;;
0802000;"Powiat krośnieński";2608,40;2725,00;2799,25;3026,18;3160,41;3232,97;3351,05;3503,74;3835,52;3996,47;;
0803000;"Powiat międzyrzecki";2521,23;2644,90;2820,99;2988,21;3116,31;3216,20;3345,15;3466,06;3583,99;3768,95;;
0804000;"Powiat nowosolski";2380,12;2669,30;2804,18;2976,30;3089,18;3253,97;3372,90;3507,98;3661,03;3914,15;;
0805000;"Powiat słubicki";2536,29;2733,88;2880,01;3068,31;3133,88;3282,94;3454,74;3534,54;3683,72;3718,52;;
0806000;"Powiat strzelecko-drezdenecki";2593,67;2665,56;2892,36;3030,54;3132,48;3261,10;3410,80;3552,74;3689,38;3819,16;;
0807000;"Powiat sulęciński";2130,99;2317,43;2414,19;2620,65;2716,04;2740,65;2925,57;3019,27;3161,56;3468,90;;
0808000;"Powiat świebodziński";2458,84;2520,07;2640,20;2858,26;2931,56;3104,58;3308,49;3455,57;3712,08;3968,58;;
0809000;"Powiat zielonogórski";2696,63;2765,05;2895,29;3073,28;3373,25;3320,76;3408,24;3699,79;3810,06;4067,93;;
0810000;"Powiat żagański";2316,79;2426,68;2560,00;2719,65;2889,16;3001,13;3125,35;3249,08;3428,40;3587,59;;
0811000;"Powiat żarski";2760,46;2928,90;3084,63;3276,98;3445,53;3501,25;3596,66;3712,82;3925,75;4067,66;;
0812000;"Powiat wschowski";2420,74;2534,57;2625,94;2822,65;2983,88;3006,82;3130,04;3233,14;3359,68;3553,21;;
0861000;"Powiat m.Gorzów Wielkopolski";2763,15;2921,21;3014,26;3091,83;3197,03;3313,03;3432,87;3532,91;3670,29;3934,20;;
0862000;"Powiat m.Zielona Góra";2908,94;3060,42;3138,35;3247,30;3351,95;3363,53;3578,27;3731,67;3919,96;4173,04;;
1000000;"ŁÓDZKIE";2740,58;2884,60;3066,02;3245,97;3383,30;3510,20;3618,63;3790,76;3925,10;4141,94;;
1001000;"Powiat bełchatowski";3745,53;3958,40;4628,24;4940,22;5244,60;5512,35;5578,37;5791,89;5778,97;5926,37;;
1002000;"Powiat kutnowski";2553,09;2748,82;2871,15;3027,99;3179,27;3265,05;3396,11;3553,67;3685,59;3946,40;;
1003000;"Powiat łaski";2216,28;2340,75;2481,94;2572,43;2656,34;2749,14;2843,66;2954,03;3041,80;3227,11;;
1004000;"Powiat łęczycki";2688,12;2828,64;2893,63;3071,35;3216,88;3425,90;3532,14;3582,28;3725,91;3885,89;;
1005000;"Powiat łowicki";2386,89;2582,14;2718,68;2845,87;2947,82;3121,34;3201,38;3247,31;3337,54;3534,91;;
1006000;"Powiat łódzki wschodni";2303,11;2447,97;2554,12;2677,69;2689,61;2796,04;2951,68;3118,38;3256,75;3463,82;;
1007000;"Powiat opoczyński";2494,48;2438,50;2650,06;2856,43;2930,75;3004,95;3087,19;3174,36;3263,60;3427,90;;
1008000;"Powiat pabianicki";2430,88;2519,87;2622,52;2812,11;2920,50;3094,69;3189,30;3402,55;3539,63;3778,57;;
